hospital_id,hospital_name,hospital_type,department,address,city,district,lat,lon,phone,weekday_open,weekday_close,weekend_open,has_weekend,night_service,is_emergency,emergency_level
H00012,의료법인 강릉동인병원,GENERAL,"내과, 외과, 정형외과, 신경과, 산부인과, 소아청소년과, 안과, 이비인후과, 재활의학과, 응급의학과, 영상의학과","강원특별자치도 강릉시 강릉대로419번길 42-0,  (포남동)",강릉시,강릉대로419번길,37.77435,128.90735,033-650-6161,,,,0,0,1,LOCAL
H00013,의료법인 동해동인병원,GENERAL,"내과, 외과, 정형외과, 신경과, 산부인과, 소아청소년과, 안과, 이비인후과, 재활의학과, 응급의학과, 영상의학과","강원특별자치도 동해시 하평로 26, (평릉동)",동해시,하평로,37.5299417,129.1074625,033-530-0114,,,,0,0,1,LOCAL
H00014,의산의료재단 강릉고려병원,GENERAL,"내과, 외과, 정형외과, 신경과, 산부인과, 소아청소년과, 안과, 이비인후과, 재활의학과, 응급의학과, 영상의학과","강원특별자치도 강릉시 옥가로 30, (옥천동)",강릉시,옥가로,37.7590068,128.8998047,033-649-0100,,,,0,0,1,LOCAL
H00015,한림대학교춘천성심병원,GENERAL,"내과, 외과, 정형외과, 신경과, 산부인과, 소아청소년과, 안과, 이비인후과, 재활의학과, 응급의학과, 영상의학과","강원특별자치도 춘천시 삭주로 77, 77",춘천시,삭주로,37.8840791,127.7399592,033-240-5000,,,,0,0,1,LOCAL
H00016,홍천아산병원,GENERAL,"내과, 외과, 정형외과, 신경과, 산부인과, 소아청소년과, 안과, 이비인후과, 재활의학과, 응급의학과, 영상의학과","강원특별자치도 홍천군 홍천읍 산림공원1길 17, 17",홍천군,홍천읍,37.6908303,127.8948538,033-430-5151,,,,0,0,1,LOCAL
H00017,강원특별자치도재활병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 춘천시 충열로142번길 24-16,  (우두동)",춘천시,충열로142번길,37.9036442,127.7411391,033-248-7700,,,,0,0,0,NONE
H00018,국군강릉병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 강릉시 주문진읍 동해대로 4371-34, 4371",강릉시,주문진읍,37.8687639,128.8310611,021-688-9165,,,,0,0,0,NONE
H00019,국군춘천병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 춘천시 방고개길 57, 57",춘천시,방고개길,37.9386827,127.7328308,033-244-0130,,,,0,0,0,NONE
H00020,국군홍천병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 홍천군 두촌면 아홉사리로 53, (두촌면)",홍천군,두촌면,37.8047491,127.9970272,033-460-3023,,,,0,0,0,NONE
H00021,근로복지공단 정선병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 정선군 정선읍 봉양1길 145-0,",정선군,정선읍,37.3830727,128.6587349,033-560-7110,,,,0,0,1,LOCAL
H00022,더 오케이 병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 춘천시 김유정로 1874, (퇴계동)",춘천시,김유정로,37.8536047,127.7362827,033-263-5335,,,,0,0,0,NONE
H00023,민중병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 원주시 북원로 2636-0, 민중병원",원주시,북원로,37.3786079,127.9464131,033-732-0270,,,,0,0,0,NONE
H00024,백두병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 양구군 양구읍 금강산로 510, (양구읍)",양구군,양구읍,38.122631,127.9967718,033-481-9880,,,,0,0,0,NONE
H00025,본베스트병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 원주시 능라동길 51-0,  6~7층 (무실동)",원주시,능라동길,37.3348376,127.9301516,033-742-7766,,,,0,0,0,NONE
H00026,선한이웃병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 삼척시 오십천로 506, (정상동)",삼척시,오십천로,37.4369274,129.1723135,033-574-9114,,,,0,0,0,NONE
H00027,센트럴병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 원주시 백간길 95, 단계동 1085-1 (단계동)",원주시,백간길,37.3522154,127.9341458,033-742-9371,,,,0,0,0,NONE
H00028,신태백병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 태백시 황지로 23,  (황지동)",태백시,황지로,37.1611472,128.9901554,033-553-9100,,,,0,0,0,NONE
H00029,연세메디하임병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 원주시 문막읍 원문로 1419-0, 연세메디하임병원",원주시,문막읍,37.3260972,127.8450902,033-740-8800,,,,0,0,0,NONE
H00030,연세명인병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 원주시 평원로 100-0,  (학성동)",원주시,평원로,37.3534761,127.948827,033-813-1111,,,,0,0,0,NONE
H00031,영광재활병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 원주시 오리현길 236-0,  (행구동)",원주시,오리현길,37.3358413,127.9919526,033-746-4100,,,,0,0,0,NONE
H00032,원주불로병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 원주시 평원로 165-0,  (학성동)",원주시,평원로,37.3562516,127.9444614,033-747-2000,,,,0,0,0,NONE
H00033,원주성모병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 원주시 소초면 치악로 2473, (소초면)",원주시,소초면,37.3936928,127.9845521,033-741-5000,,,,0,0,0,NONE
H00034,원주센텀병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 원주시 능라동길 70-0,  (무실동)",원주시,능라동길,37.3337964,127.9302031,033-900-1111,,,,0,0,0,NONE
H00035,원주연세병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 원주시 원일로 230,  (학성동)",원주시,원일로,37.3568173,127.9437571,033-1670-2020,,,,0,0,0,NONE
H00036,원주우리병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 원주시 북원로 2572, 2572",원주시,북원로,37.373665,127.9434,033-743-9844,,,,0,0,0,NONE
H00037,원주카톨릭병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 원주시 남산로 199-0, 원주카톨릭병원",원주시,남산로,37.35399,127.941138,033-743-5412,,,,0,0,0,NONE
H00038,원주프라임병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 원주시 남원로 556-0, 지하1~6층 (개운동)",원주시,남원로,37.3334933,127.9480045,15223375,,,,0,0,0,NONE
H00039,의료법인 성심의료재단 양구성심병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 양구군 양구읍 중심로 160, 양구성심병원",양구군,양구읍,38.1046965,127.9911813,033-480-8800,,,,0,0,1,LOCAL
H00040,의료법인 성지의료재단 성지병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 원주시 원일로 22, 22",원주시,원일로,37.3455069,127.9542137,033-760-3103,,,,0,0,1,LOCAL
H00041,의료법인 양구우리병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 양구군 양구읍 양구새싹로 7-7, (양구읍)",양구군,양구읍,38.1025665,127.9860829,033-854-7114,,,,0,0,0,NONE
H00042,의료법인삼산의료재단 삼산병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 원주시 혁신로 5-0,  1동 (반곡동,세인트병원)",원주시,혁신로,37.3262033,127.9751953,033-749-9900,,,,0,0,0,NONE
H00043,인성병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 춘천시 금강로 39, (낙원동)",춘천시,금강로,37.8812799,127.7268737,033-253-3030,,,,0,0,1,LOCAL
H00044,인제고려병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 인제군 인제읍 비봉로 19, (인제읍)",인제군,인제읍,38.0678145,128.1736926,033-461-0088,,,,0,0,0,NONE
H00045,정병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 원주시 원문로 141-0,  (단계동)",원주시,원문로,37.3552035,127.9330207,033-733-9988,,,,0,0,0,NONE
H00046,정선군립병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 정선군 사북읍 지장천로 727-0, 정선군립병원",정선군,사북읍,37.2257003,128.8261822,033-592-3121,,,,0,0,0,NONE
H00047,철원병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 철원군 갈말읍 명성로 208-0,",철원군,갈말읍,38.1504492,127.3079502,033-452-5011,,,,0,0,1,LOCAL
H00048,푸른사랑병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 영월군 영월읍 중앙로 10,",영월군,영월읍,37.1833275,128.4650393,033-374-7575,,,,0,0,0,NONE
H00049,한마음병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 동해시 중앙로 210, (천곡동)",동해시,중앙로,37.5197222,129.1158588,033-533-8275,,,,0,0,0,NONE
H00050,현대중앙병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 원주시 상지대길 23-0, 23",원주시,상지대길,37.369382,127.938888,033-747-1199,,,,0,0,0,NONE
H00051,횡성대성병원,HOSPITAL,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 횡성군 횡성읍 횡성로 275, (횡성읍)",횡성군,횡성읍,37.4782572,127.9797574,033-343-0901,,,,0,0,1,LOCAL
H00052,강릉연세요양병원,NURSING,"내과, 재활의학과","강원특별자치도 강릉시 옥가로 70, (옥천동)",강릉시,옥가로,37.7623731,128.9007545,033-645-1400,,,,0,0,0,NONE
H00053,강원특별자치도립 강릉요양병원,NURSING,"내과, 재활의학과","강원특별자치도 강릉시 경강로 2009, (남문동)",강릉시,경강로,37.7496058,128.8894152,033-640-8800,,,,0,0,0,NONE
H00054,근로복지공단 태백요양병원,NURSING,"내과, 재활의학과","강원특별자치도 태백시 보드미길 8-0,  4층 (장성동,근로복지공단태백요양병원)",태백시,보드미길,37.1040964,129.0043366,033-580-3700,,,,0,0,0,NONE
H00055,도경요양병원,NURSING,"내과, 재활의학과","강원특별자치도 삼척시 도계읍 강원남부로 632-0, (도계읍)",삼척시,도계읍,37.1796238,129.035205,033-554-4715,,,,0,0,0,NONE
H00056,동해금강요양병원,NURSING,"내과, 재활의학과","강원특별자치도 동해시 동해대로 5143, 동해금강요양병원 (효가동)",동해시,동해대로,37.5034504,129.1066052,033-520-7000,,,,0,0,0,NONE
H00057,동해요양병원,NURSING,"내과, 재활의학과","강원특별자치도 동해시 중앙로 218-0, 동해요양병원",동해시,중앙로,37.520357,129.1156782,033-531-2500,,,,0,0,0,NONE
H00058,동해이레요양병원,NURSING,"내과, 재활의학과","강원특별자치도 동해시 덕골길 76-40,  (천곡동)",동해시,덕골길,37.5179522,129.0969083,033-533-7741,,,,0,0,0,NONE
H00059,문막요양병원,NURSING,"내과, 재활의학과","강원특별자치도 원주시 문막읍 문막시장1길 16-0, (문막읍)",원주시,문막읍,37.3079128,127.8170021,033-813-9922,,,,0,0,0,NONE
H00060,바른요양병원,NURSING,"내과, 재활의학과","강원특별자치도 원주시 판부면 치악로 1139, (판부면)",원주시,판부면,37.293153,127.9908928,033-762-0100,,,,0,0,0,NONE
H00061,속초우리요양병원,NURSING,"내과, 재활의학과","강원특별자치도 속초시 온천로 291-0,  (교동)",속초시,온천로,38.1930922,128.574288,033-638-0060,,,,0,0,0,NONE
H00062,속초정요양병원,NURSING,"내과, 재활의학과","강원특별자치도 속초시 동해대로 4084, (조양동)",속초시,동해대로,38.1899427,128.5877265,033-637-0757,,,,0,0,0,NONE
H00063,암스트롱요양병원,NURSING,"내과, 재활의학과","강원특별자치도 춘천시 서면 율장길 328, (서면)",춘천시,서면,37.8664814,127.5840304,033-263-8275,,,,0,0,0,NONE
H00064,암오케이 요양병원,NURSING,"내과, 재활의학과","강원특별자치도 원주시 신림면 용소막길 20-1, (신림면)",원주시,신림면,37.2158792,128.088176,033-813-9955,,,,0,0,0,NONE
H00065,연세요양병원,NURSING,"내과, 재활의학과","강원특별자치도 원주시 남원로 631, (명륜동)",원주시,남원로,37.3397808,127.9518502,033-765-5001,,,,0,0,0,NONE
H00066,영월요양병원,NURSING,"내과, 재활의학과","강원특별자치도 영월군 영월읍 남중골길 5- , 5",영월군,영월읍,37.1812962,128.5389944,033-372-0691,,,,0,0,0,NONE
H00067,영인요양병원,NURSING,"내과, 재활의학과","강원특별자치도 춘천시 중앙로 60-0, (중앙로2가)",춘천시,중앙로,37.8799974,127.7268652,033-256-5688,,,,0,0,0,NONE
H00068,원주효요양병원,NURSING,"내과, 재활의학과","강원특별자치도 원주시 원일로 176-1,  (학성동)",원주시,원일로,37.3537541,127.9461524,033-747-6701,,,,0,0,0,NONE
H00069,의료법인 연호요양병원,NURSING,"내과, 재활의학과","강원특별자치도 홍천군 북방면 팔봉산로 2420-58, 2420",홍천군,북방면,37.7324064,127.8140604,033-262-5002,,,,0,0,0,NONE
H00070,의료법인 지산의료재단 현인요양병원,NURSING,"내과, 재활의학과","강원특별자치도 인제군 기린면 내린천로 3760- ,",인제군,기린면,37.9337217,128.3119116,033-462-0129,,,,0,0,0,NONE
H00071,의료법인 청강의료재단 청강요양병원,NURSING,"내과, 재활의학과","강원특별자치도 횡성군 강림면 주천강로강림3길 26-4,",횡성군,강림면,37.3579999,128.1374386,033-344-1111,,,,0,0,0,NONE
H00072,철원요양병원,NURSING,"내과, 재활의학과","강원특별자치도 철원군 동송읍 금학로157번길 23-17, (동송읍)",철원군,동송읍,38.2011631,127.2203525,033-455-3131,,,,0,0,0,NONE
H00073,춘천새윤요양병원,NURSING,"내과, 재활의학과","강원특별자치도 춘천시 퇴계공단길 40, (퇴계동)",춘천시,퇴계공단길,37.8445122,127.7357605,033-264-3100,,,,0,0,0,NONE
H00074,춘천시노인전문병원,NURSING,"내과, 재활의학과","강원특별자치도 춘천시 동면 세실로 252, (동면)",춘천시,동면,37.8803661,127.7565357,033-240-7500,,,,0,0,0,NONE
H00075,춘천요양병원,NURSING,"내과, 재활의학과","강원특별자치도 춘천시 동면 춘천로 527-34,",춘천시,동면,37.8981638,127.764337,033-260-7114,,,,0,0,0,NONE
H00076,춘천태동요양병원,NURSING,"내과, 재활의학과","강원특별자치도 춘천시 남면 박암관천길 821-0,",춘천시,남면,37.7244716,127.5172194,033-263-8100,,,,0,0,0,NONE
H00077,춘천호반요양병원,NURSING,"내과, 재활의학과","강원특별자치도 춘천시 옛경춘로 663, 663",춘천시,옛경춘로,37.8565902,127.7075734,033-251-9911,,,,0,0,0,NONE
H00078,토마스요양병원,NURSING,"내과, 재활의학과","강원특별자치도 춘천시 영서로 1925-9, 춘천한방병원",춘천시,영서로,37.8466972,127.7548304,033-253-5000,,,,0,0,0,NONE
H00079,해오름자연요양병원,NURSING,"내과, 재활의학과","강원특별자치도 평창군 봉평면 기풍로 199, (봉평면)",평창군,봉평면,37.619657,128.375904,033-335-7582,,,,0,0,0,NONE
H00080,현대요양병원,NURSING,"내과, 재활의학과","강원특별자치도 원주시 치악로1604번길 22,  (단구동)",원주시,치악로1604번길,37.3262842,127.9628808,033-900-9977,,,,0,0,0,NONE
H00081,홍천요양병원,NURSING,"내과, 재활의학과","강원특별자치도 홍천군 두촌면 설악로 3871-4, (두촌면)",홍천군,두촌면,37.8411864,128.0170179,033-436-2119,,,,0,0,0,NONE
H00082,(의)아나의료재단 강릉아나병원,OTHER,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 강릉시 용지로 129-0,  (옥천동)",강릉시,용지로,37.7604484,128.9029668,033-610-1100,,,,0,0,0,NONE
H00083,강릉율곡병원,OTHER,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 강릉시 동해대로3304번길 11, (난곡동)",강릉시,동해대로3304번길,37.7864983,128.8740332,033-655-1133,,,,0,0,0,NONE
H00084,국립춘천병원,OTHER,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 춘천시 동산면 영서로 824, (동산면)",춘천시,동산면,37.7713654,127.7664334,033-260-3000,,,,0,0,0,NONE
H00085,내안에병원,OTHER,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 원주시 남원로 562-5, (개운동)",원주시,남원로,37.3341896,127.9489161,033-733-1199,,,,0,0,0,NONE
H00086,베드로병원,OTHER,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 춘천시 공지로 270-0, (효자동)",춘천시,공지로,37.8659705,127.7353695,033-255-0085,,,,0,0,0,NONE
H00087,봄내병원,OTHER,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 춘천시 춘천로 180, (효자동)",춘천시,춘천로,37.8762275,127.7340805,033-255-8515,,,,0,0,0,NONE
H00088,새마음병원,OTHER,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 원주시 문막읍 귀문로 1217,",원주시,문막읍,37.265117,127.825575,033-731-3111,,,,0,0,0,NONE
H00089,의료법인 춘천서인병원,OTHER,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 춘천시 동산면 새술막길 315-77, 315",춘천시,동산면,37.77075,127.72795,033-261-0999,,,,0,0,0,NONE
H00090,춘천예현병원,OTHER,"내과, 외과, 정형외과, 영상의학과","강원특별자치도 춘천시 서면 샛말길 122-11, 122",춘천시,서면,37.8513108,127.6173423,033-264-9885,,,,0,0,0,NONE
H00091,21세기바른정형외과의원,CLINIC,"내과, 가정의학과","강원특별자치도 화천군 화천읍 중앙로 25, (화천읍)",화천군,화천읍,38.1040394,127.7068942,033-441-8575,,,,0,0,0,NONE
H00092,21세기본튼튼의원,CLINIC,"내과, 가정의학과","강원특별자치도 원주시 현충로 11, 2층 201, 202호 (태장동)",원주시,현충로,37.3568544,127.9550891,033-813-4095,,,,0,0,0,NONE
H00093,21세기소아청소년과의원,CLINIC,"내과, 가정의학과","강원특별자치도 원주시 봉화로 27, (단계동)",원주시,봉화로,37.3469332,127.9282649,033-745-0815,,,,0,0,0,NONE
H00094,365굿모닝메디컬의원,CLINIC,"내과, 가정의학과","강원특별자치도 원주시 혁신로 37-2, 중앙타워 4층 (반곡동)",원주시,혁신로,37.3238018,127.9789974,033-734-9011,,,,0,0,0,NONE
H00095,365성모가정의학과의원,CLINIC,"내과, 가정의학과","강원특별자치도 춘천시 후석로 352, 2층 (후평동, 국제빌딩)",춘천시,후석로,37.8820972,127.7486855,033-251-3500,,,,0,0,0,NONE
H00096,365플러스의원,CLINIC,"내과, 가정의학과","강원특별자치도 원주시 오성마을길 57-22, 2, 3, 4층 (단구동)",원주시,오성마을길,37.3182236,127.9483841,033-765-1119,,,,0,0,0,NONE
H00097,All바른의원,CLINIC,"내과, 가정의학과","강원특별자치도 동해시 발한로 210, (발한동)",동해시,발한로,37.5482742,129.1091632,5317575,,,,0,0,0,NONE
H00098,Dr. 구의원,CLINIC,"내과, 가정의학과","강원특별자치도 원주시 서원대로 392, 3층 (단구동, 스타프라자)",원주시,서원대로,37.3310468,127.9484815,033-766-2535,,,,0,0,0,NONE
H00099,Dr.신형직의비타민정신과의원,CLINIC,"내과, 가정의학과","강원특별자치도 강릉시 경강로 2109, 6층 (임당동, 문선빌딩)",강릉시,경강로,37.7556928,128.8972549,033-645-0900,,,,0,0,0,NONE
H00100,Dr.하석우의한사랑의원,CLINIC,"내과, 가정의학과","강원특별자치도 동해시 효자남길 16, 1층 (동회동, 월드상가)",동해시,효자남길,37.4877014,129.1087269,033-522-2244,,,,0,0,0,NONE
H00101,YS김안과의원,CLINIC,"내과, 가정의학과","강원특별자치도 춘천시 후석로 22, 5층 (석사동, 남부새마을금고석사지점)",춘천시,후석로,37.8567396,127.7402992,033-261-4411,,,,0,0,0,NONE
H00102,가온의원,CLINIC,"내과, 가정의학과","강원특별자치도 태백시 황지로 131, 3층 (황지동)",태백시,황지로,37.1706235,128.9919692,033-553-8871,,,,0,0,0,NONE
H00103,갈바리의원,CLINIC,"내과, 가정의학과","강원특별자치도 강릉시 임영로163번길 24-8, 갈바리의원 (홍제동)",강릉시,임영로163번길,37.7556321,128.8887683,033-644-4992,,,,0,0,0,NONE
H00104,강남내과의원,CLINIC,"내과, 가정의학과","강원특별자치도 춘천시 춘천로 68, 3,4층 (효자동)",춘천시,춘천로,37.8702921,127.7250159,033-242-8885,,,,0,0,0,NONE
H00105,강남리본정형외과의원,CLINIC,"내과, 가정의학과","강원특별자치도 춘천시 후석로 7, 1층 (석사동)",춘천시,후석로,37.8563129,127.7389389,033-263-7500,,,,0,0,0,NONE
H00106,강남마취통증의학과의원,CLINIC,"내과, 가정의학과","강원특별자치도 강릉시 신대학길 17, 강릉1번가 3층 307호 (금학동)",강릉시,신대학길,37.753216,128.8948671,033-643-3362,,,,0,0,0,NONE
H00107,강남아이원안과의원,CLINIC,"내과, 가정의학과","강원특별자치도 철원군 갈말읍 명성로 184, 1층",철원군,갈말읍,38.1479295,127.3081914,033-455-7501,,,,0,0,0,NONE
H00108,강남영내과의원,CLINIC,"내과, 가정의학과","강원특별자치도 원주시 행구로 39, 2층 (개운동)",원주시,행구로,37.3415848,127.9601955,033-763-6390,,,,0,0,0,NONE
H00109,강남의원,CLINIC,"내과, 가정의학과","강원특별자치도 강릉시 노가니길 31, (노암동)",강릉시,노가니길,37.7475608,128.9017449,033-641-8214,,,,0,0,0,NONE
H00110,강남정형외과의원,CLINIC,"내과, 가정의학과","강원특별자치도 삼척시 오십천로 464, (남양동)",삼척시,오십천로,37.439105,129.1688958,033-575-5588,,,,0,0,0,NONE
H00111,강남제이스타의원,CLINIC,"내과, 가정의학과","강원특별자치도 원주시 능라동길 51, 시네시티타워 501, 502, 601, 602호 (무실동)",원주시,능라동길,37.3348376,127.9301516,033-733-7585,,,,0,0,0,NONE
H00112,강릉 밴스의원,CLINIC,"내과, 가정의학과","강원특별자치도 강릉시 경강로 2075, 5층 (임당동)",강릉시,경강로,37.7538462,128.8942075,033-644-3297,,,,0,0,0,NONE
H00113,강릉교도소부속의원,CLINIC,"내과, 가정의학과","강원특별자치도 강릉시 공제로 413-15, (홍제동)",강릉시,공제로,37.7477123,128.864518,033-649-8275,,,,0,0,0,NONE
H00114,강릉마디튼튼정형외과의원,CLINIC,"내과, 가정의학과","강원특별자치도 강릉시 솔올로5번길 55, 3층 302호 (교동)",강릉시,솔올로5번길,37.763936,128.8775547,033-642-7119,,,,0,0,0,NONE
H00115,강릉바른정형외과의원,CLINIC,"내과, 가정의학과","강원특별자치도 강릉시 경강로 2075, 3층 (임당동)",강릉시,경강로,37.7538462,128.8942075,033-645-7588,,,,0,0,0,NONE
H00116,강릉성모안과의원,CLINIC,"내과, 가정의학과","강원특별자치도 강릉시 경강로 2089, 1층 (임당동)",강릉시,경강로,37.754583,128.8955034,033-645-7337,,,,0,0,0,NONE
H00117,강릉속편한내과의원,CLINIC,"내과, 가정의학과","강원특별자치도 강릉시 경강로 2089, 2층 (임당동)",강릉시,경강로,37.754583,128.8955034,033-655-7171,,,,0,0,0,NONE
H00118,강릉연세정형외과의원,CLINIC,"내과, 가정의학과","강원특별자치도 강릉시 경강로 2082, 3층 (임당동)",강릉시,경강로,37.7538334,128.8951953,033-645-0075,,,,0,0,0,NONE
H00119,강봉선신경정신과의원,CLINIC,"내과, 가정의학과","강원특별자치도 원주시 서원대로 383, 3층 401호 (개운동, 한신프라자)",원주시,서원대로,37.3319866,127.9486022,033-744-3884,,,,0,0,0,NONE
H00120,강원북부교도소부속의원,CLINIC,"내과, 가정의학과","강원특별자치도 속초시 동해대로4511번길 13, 1층 (장사동)",속초시,동해대로4511번길,38.2147595,128.5605926,033-634-7575,,,,0,0,0,NONE
H00121,강원의료복지사회적협동조합밝음의원,CLINIC,"내과, 가정의학과","강원특별자치도 원주시 중앙로 85, 4층 (중앙동)",원주시,중앙로,37.3486376,127.951294,033-744-7571,,,,0,0,0,NONE
H00122,강원특별자치도 부속의원,CLINIC,"내과, 가정의학과","강원특별자치도 춘천시 중앙로 1, (봉의동)",춘천시,중앙로,37.885399,127.72975,033-249-2426,,,,0,0,0,NONE
H00123,강윤철피부과의원,CLINIC,"내과, 가정의학과","강원특별자치도 원주시 원일로 120, 7층 (중앙동)",원주시,원일로,37.3503162,127.9484763,033-731-7588,,,,0,0,0,NONE
