symptom_group,question_id,question,answer_option,risk_score,suspected_disease,required_resource_code,disease_id,canonical_disease_name
surgery,Q0026,대퇴부 골절 증상이 있습니까?,예,4.0,대퇴골골절,ER_TRAUMA,D_SURG_004,대퇴골골절
surgery,Q0027,척추 골절 증상이 있습니까?,예,4.0,척추골절,ER_TRAUMA,D_SURG_008,척추골절
surgery,Q0028,사지 절단 위험 혈관손상 증상이 있습니까?,예,5.0,혈관손상,ER_TRAUMA,D_SURG_009,혈관손상
surgery,Q0029,응급수술 필요 중상 증상이 있습니까?,예,4.0,중증외상,ER_TRAUMA,D_SURG_006,중증외상
surgery,Q0030,다발성 외상 증상이 있습니까?,예,4.0,다발성외상,ER_TRAUMA,D_TRM_005,다발성외상
bleeding,Q0031,계속되는 각혈 증상이 있습니까?,예,4.0,객혈,ER_HEMORRHAGE,D_BLD_001,객혈
bleeding,Q0032,지혈이 안되는 출혈 증상이 있습니까?,예,5.0,대량출혈,ER_HEMORRHAGE,D_BLD_002,대량출혈
bleeding,Q0033,급성 위장관 출혈 증상이 있습니까?,예,5.0,위장관출혈,ER_HEMORRHAGE,D_BLD_003,위장관출혈
eye,Q0034,화학물질에 의한 눈 손상 증상이 있습니까?,예,4.0,화학성 안손상,ER_OPHTHAL,D_EYE_006,화학성 안손상
eye,Q0035,급성 시력손실 증상이 있습니까?,예,5.0,급성 시력상실,ER_OPHTHAL,D_EYE_003,급성 시력상실
allergy,Q0036,얼굴부종을 동반한 알레르기 반응 증상이 있습니까?,예,4.0,아나필락시스,ER_ALLERGY,D_ALG_003,아나필락시스
pediatric,Q0037,소아경련성 장애 증상이 있습니까?,예,4.0,열성경련,ER_PED,D_PED_003,열성경련
psychiatric,Q0038,자신 또는 타인을 해할 우려가 있는 정신장애 증상이 있습니까?,예,4.0,정신과적 응급상황,ER_PSY,D_PSY_007,정신과적 응급상황
neuro,Q0039,의식장애 증상이 있습니까?,예,3.0,신경계 질환,ER_NEURO,D_NEU_005,신경계 질환
neuro,Q0040,현훈 증상이 있습니까?,예,2.0,어지럼증,ER_NEURO,D_NEU_007,어지럼증
cardio,Q0041,호흡곤란 증상이 있습니까?,예,3.0,급성 호흡기 질환,ER_RESP,D_CAR_006,급성 호흡기 질환
cardio,Q0042,과호흡 증상이 있습니까?,예,3.0,과호흡증후군,ER_RESP,D_CAR_003,과호흡증후군
trauma,Q0043,화상 증상이 있습니까?,예,2.0,화상,ER_BURN,D_TRM_014,화상
abdominal,Q0044,배의 전반적인 이상증상 증상이 있습니까?,예,3.0,복부질환,ER_SURGERY,D_DIG_009,복부질환
abdominal,Q0045,급성복증 증상이 있습니까?,예,3.0,급성복증,ER_SURGERY,D_SURG_002,급성복증
trauma,Q0046,골절 증상이 있습니까?,예,3.0,골절,ER_TRAUMA,D_TRM_003,골절
trauma,Q0047,외상 증상이 있습니까?,예,3.0,외상,ER_TRAUMA,D_TRM_008,외상
trauma,Q0048,탈골 증상이 있습니까?,예,3.0,탈구,ER_TRAUMA,D_TRM_013,탈구
surgery,Q0049,응급수술이 필요한 증상 증상이 있습니까?,예,3.0,외과적 응급질환,ER_SURGERY,D_SURG_005,외과적 응급질환
urology,Q0050,배뇨장애 증상이 있습니까?,예,2.0,비뇨기 질환,ER_UROLOGY,D_URO_004,비뇨기 질환
bleeding,Q0051,혈관손상 증상이 있습니까?,예,3.0,혈관손상,ER_TRAUMA,D_SURG_009,혈관손상
pediatric,Q0052,소아 경련 증상이 있습니까?,예,3.0,열성경련,ER_PED,D_PED_003,열성경련
pediatric,Q0053,38도 이상 소아 고열 증상이 있습니까?,예,2.0,소아 고열,ER_PED,D_PED_001,소아 고열
obgy,Q0054,분만 관련 응급증상 증상이 있습니까?,예,2.0,산과적 응급상황,ER_OBGY,D_OBG_002,산과적 응급상황
obgy,Q0055,성폭력 관련 산부인과 처치 필요 증상이 있습니까?,예,2.0,산부인과적 응급상황,ER_OBGY,D_OBG_003,산부인과적 응급상황
foreign_body,Q0056,귀 이물 증상이 있습니까?,예,2.0,귀 이물,ER_ENT,D_FB_001,귀 이물
foreign_body,Q0057,눈 이물 증상이 있습니까?,예,2.0,눈 이물,ER_OPHTHAL,D_FB_003,눈 이물
foreign_body,Q0058,코 이물 증상이 있습니까?,예,2.0,코 이물,ER_ENT,D_FB_005,코 이물
foreign_body,Q0059,항문 이물 증상이 있습니까?,예,2.0,항문 이물,ER_SURGERY,D_FB_006,항문 이물
trauma,TRIAGE_EXP_EXP001_001,뇌진탕 의심 두부손상 관련 고위험 증상이 있습니까?,예,5.0,뇌진탕 의심 두부손상,ER_TRAUMA,D_TRM_004,뇌진탕 의심 두부손상
trauma,TRIAGE_EXP_EXP002_001,외상성 뇌손상 관련 고위험 증상이 있습니까?,예,5.0,외상성 뇌손상,ER_TRAUMA,D_TRM_009,외상성 뇌손상
trauma,TRIAGE_EXP_EXP003_001,경추손상 관련 고위험 증상이 있습니까?,예,5.0,경추손상,ER_TRAUMA,D_TRM_002,경추손상
trauma,TRIAGE_EXP_EXP004_001,척추손상 관련 고위험 증상이 있습니까?,예,5.0,척추손상,ER_TRAUMA,D_TRM_012,척추손상
trauma,TRIAGE_EXP_EXP005_001,다발성외상 관련 고위험 증상이 있습니까?,예,5.0,다발성외상,ER_TRAUMA,D_TRM_005,다발성외상
trauma,TRIAGE_EXP_EXP006_001,개방성 골절 관련 고위험 증상이 있습니까?,예,5.0,개방성 골절,ER_TRAUMA,D_TRM_001,개방성 골절
trauma,TRIAGE_EXP_EXP007_001,절단손상 관련 고위험 증상이 있습니까?,예,5.0,절단손상,ER_TRAUMA,D_TRM_011,절단손상
trauma,TRIAGE_EXP_EXP008_001,압궤손상 관련 고위험 증상이 있습니까?,예,5.0,압궤손상,ER_TRAUMA,D_TRM_007,압궤손상
trauma,TRIAGE_EXP_EXP009_001,안면외상 관련 고위험 증상이 있습니까?,예,4.0,안면외상,ER_TRAUMA,D_TRM_006,안면외상
respiratory,TRIAGE_EXP_EXP010_001,고열 동반 호흡곤란 관련 고위험 증상이 있습니까?,예,5.0,고열 동반 호흡곤란,ER_RESP,D_RESP_003,고열 동반 호흡곤란
respiratory,TRIAGE_EXP_EXP011_001,폐렴 의심 고열 관련 고위험 증상이 있습니까?,예,4.0,폐렴 의심 고열,ER_RESP,D_RESP_016,폐렴 의심 고열
respiratory,TRIAGE_EXP_EXP012_001,천식 악화 관련 고위험 증상이 있습니까?,예,5.0,천식 악화,ER_RESP,D_RESP_012,천식 악화
respiratory,TRIAGE_EXP_EXP013_001,COPD 급성악화 관련 고위험 증상이 있습니까?,예,5.0,COPD 급성악화,ER_RESP,D_RESP_001,COPD 급성악화
respiratory,TRIAGE_EXP_EXP014_001,기흉 관련 고위험 증상이 있습니까?,예,5.0,기흉,ER_RESP,D_RESP_006,기흉
respiratory,TRIAGE_EXP_EXP015_001,폐색전증 관련 고위험 증상이 있습니까?,예,5.0,폐색전증,ER_RESP,D_RESP_017,폐색전증
cardio,TRIAGE_EXP_EXP016_001,급성 심부전 관련 고위험 증상이 있습니까?,예,5.0,급성 심부전,ER_CARDIO,D_CAR_005,급성 심부전
cardio,TRIAGE_EXP_EXP017_001,대동맥박리 관련 고위험 증상이 있습니까?,예,5.0,대동맥박리,ER_CARDIO,D_CAR_007,대동맥박리
cardio,TRIAGE_EXP_EXP018_001,고혈압성 응급 관련 고위험 증상이 있습니까?,예,5.0,고혈압성 응급,ER_CARDIO,D_CAR_002,고혈압성 응급
neuro,TRIAGE_EXP_EXP019_001,실신 관련 고위험 증상이 있습니까?,예,4.0,실신,ER_NEURO,D_NEU_006,실신
neuro,TRIAGE_EXP_EXP020_001,경련 발작 관련 고위험 증상이 있습니까?,예,5.0,경련 발작,ER_NEURO,D_NEU_001,경련 발작
neuro,TRIAGE_EXP_EXP021_001,수막염 의심 관련 고위험 증상이 있습니까?,예,5.0,수막염 의심,ER_NEURO,D_NEU_004,수막염 의심
neuro,TRIAGE_EXP_EXP022_001,편두통 위험징후 관련 고위험 증상이 있습니까?,예,4.0,편두통 위험징후,ER_NEURO,D_NEU_010,편두통 위험징후
abdominal,TRIAGE_EXP_EXP023_001,급성 충수염 관련 고위험 증상이 있습니까?,예,4.0,급성 충수염,ER_GENERAL,D_DIG_007,맹장염
abdominal,TRIAGE_EXP_EXP024_001,담낭염 관련 고위험 증상이 있습니까?,예,4.0,담낭염,ER_GENERAL,D_DIG_005,담낭염
urology,TRIAGE_EXP_EXP025_001,요로결석 관련 고위험 증상이 있습니까?,예,4.0,요로결석,ER_GENERAL,D_URO_007,요로결석
urology,TRIAGE_EXP_EXP026_001,급성 신우신염 관련 고위험 증상이 있습니까?,예,4.0,급성 신우신염,ER_GENERAL,D_URO_002,급성 신우신염
urology,TRIAGE_EXP_EXP027_001,고환염전 관련 고위험 증상이 있습니까?,예,5.0,고환염전,ER_GENERAL,D_URO_001,고환염전
abdominal,TRIAGE_EXP_EXP028_001,노로바이러스 의심 급성 위장염 관련 고위험 증상이 있습니까?,예,4.0,노로바이러스 의심 급성 위장염,ER_GENERAL,D_DIG_004,노로바이러스 의심 급성 위장염
abdominal,TRIAGE_EXP_EXP029_001,식중독 관련 고위험 증상이 있습니까?,예,4.0,식중독,ER_GENERAL,D_DIG_010,식중독
abdominal,TRIAGE_EXP_EXP030_001,중증 탈수 관련 고위험 증상이 있습니까?,예,5.0,중증 탈수,ER_GENERAL,D_DIG_016,중증 탈수
toxic,TRIAGE_EXP_EXP031_001,저혈당 관련 고위험 증상이 있습니까?,예,5.0,저혈당,ER_GENERAL,D_TOX_012,저혈당
toxic,TRIAGE_EXP_EXP032_001,고혈당성 응급 관련 고위험 증상이 있습니까?,예,5.0,고혈당성 응급,ER_GENERAL,D_TOX_002,고혈당성 응급
infection,TRIAGE_EXP_EXP033_001,패혈증 의심 관련 고위험 증상이 있습니까?,예,5.0,패혈증 의심,ER_GENERAL,D_INF_001,패혈증 의심
pediatric,TRIAGE_EXP_EXP034_001,열성경련 관련 고위험 증상이 있습니까?,예,5.0,열성경련,ER_PED,D_PED_003,열성경련
pediatric,TRIAGE_EXP_EXP035_001,영아 호흡곤란 관련 고위험 증상이 있습니까?,예,5.0,영아 호흡곤란,ER_PED,D_PED_004,영아 호흡곤란
pediatric,TRIAGE_EXP_EXP036_001,소아 탈수 관련 고위험 증상이 있습니까?,예,4.0,소아 탈수,ER_PED,D_PED_002,소아 탈수
obgy,TRIAGE_EXP_EXP037_001,임신 중 복통출혈 관련 고위험 증상이 있습니까?,예,5.0,임신 중 복통출혈,ER_OBGY,D_OBG_004,임신 중 복통출혈
obgy,TRIAGE_EXP_EXP038_001,자궁외임신 의심 관련 고위험 증상이 있습니까?,예,5.0,자궁외임신 의심,ER_OBGY,D_OBG_005,자궁외임신 의심
obgy,TRIAGE_EXP_EXP039_001,분만 임박 관련 고위험 증상이 있습니까?,예,5.0,분만 임박,ER_OBGY,D_OBG_001,분만 임박
psychiatric,TRIAGE_EXP_EXP040_001,자살위험 관련 고위험 증상이 있습니까?,예,5.0,자살위험,ER_GENERAL,D_PSY_006,자살위험
psychiatric,TRIAGE_EXP_EXP041_001,공황발작 관련 고위험 증상이 있습니까?,예,4.0,공황발작,ER_GENERAL,D_PSY_001,공황발작
psychiatric,TRIAGE_EXP_EXP042_001,섬망 의심 관련 고위험 증상이 있습니까?,예,4.0,섬망 의심,ER_GENERAL,D_PSY_004,섬망 의심
eye,TRIAGE_EXP_EXP043_001,눈 화학손상 관련 고위험 증상이 있습니까?,예,5.0,눈 화학손상,ER_GENERAL,D_EYE_004,눈 화학손상
eye,TRIAGE_EXP_EXP044_001,망막박리 의심 관련 고위험 증상이 있습니까?,예,4.0,망막박리 의심,ER_GENERAL,D_EYE_005,망막박리 의심
eye,TRIAGE_EXP_EXP045_001,각막손상 관련 고위험 증상이 있습니까?,예,4.0,각막손상,ER_GENERAL,D_EYE_001,각막손상
foreign_body,TRIAGE_EXP_EXP046_001,기도 이물 관련 고위험 증상이 있습니까?,예,5.0,기도 이물,ER_GENERAL,D_FB_002,기도 이물
foreign_body,TRIAGE_EXP_EXP047_001,식도 이물 관련 고위험 증상이 있습니까?,예,4.0,식도 이물,ER_GENERAL,D_FB_004,식도 이물
allergy,TRIAGE_EXP_EXP048_001,아나필락시스 관련 고위험 증상이 있습니까?,예,5.0,아나필락시스,ER_GENERAL,D_ALG_003,아나필락시스
allergy,TRIAGE_EXP_EXP049_001,혈관부종 관련 고위험 증상이 있습니까?,예,5.0,혈관부종,ER_GENERAL,D_ALG_004,혈관부종
toxic,TRIAGE_EXP_EXP050_001,저체온증 관련 고위험 증상이 있습니까?,예,5.0,저체온증,ER_GENERAL,D_TOX_011,저체온증
toxic,TRIAGE_EXP_EXP051_001,열사병 관련 고위험 증상이 있습니까?,예,5.0,열사병,ER_GENERAL,D_TOX_009,열사병
toxic,TRIAGE_EXP_EXP052_001,일산화탄소중독 관련 고위험 증상이 있습니까?,예,5.0,일산화탄소중독,ER_GENERAL,D_TOX_010,일산화탄소중독
toxic,TRIAGE_EXP_EXP053_001,화학물질중독 관련 고위험 증상이 있습니까?,예,5.0,화학물질중독,ER_GENERAL,D_TOX_014,화학물질중독
toxic,TRIAGE_EXP_EXP054_001,알코올중독 관련 고위험 증상이 있습니까?,예,4.0,알코올중독,ER_GENERAL,D_TOX_007,알코올중독
