question_id,suspected_disease,symptom_group,question,positive_keywords,risk_score,required_resource_code,importance,disease_id,canonical_disease_name
DQ_STROKE_002,뇌졸중,neuro,말이 어눌하거나 발음이 갑자기 이상해졌나요?,말이어눌;발음이상;말이안;언어,5,ER_NEURO,5,D_NEU_003,뇌졸중
DQ_STROKE_003,뇌졸중,neuro,얼굴 한쪽이 처지거나 입이 한쪽으로 돌아갔나요?,얼굴비대칭;입이돌아;얼굴처짐;입처짐,5,ER_NEURO,5,D_NEU_003,뇌졸중
DQ_STROKE_004,뇌졸중,neuro,증상이 갑자기 시작됐거나 발생한 지 4시간 이내인가요?,갑자기;4시간;방금;시작;시간,5,ER_NEURO,5,D_NEU_003,뇌졸중
DQ_STROKE_005,뇌졸중,neuro,갑작스러운 심한 두통이나 어지럼이 동반되나요?,두통;어지럼;구토,4,ER_NEURO,3,D_NEU_003,뇌졸중
DQ_BLEED_001,대량출혈,bleeding,피가 계속 나거나 압박해도 멈추지 않나요?,출혈;피가계속;피안멈춤,5,ER_TRAUMA,5,D_BLD_002,대량출혈
DQ_BLEED_002,대량출혈,bleeding,어지럽거나 식은땀이 나고 창백한가요?,어지럼;식은땀;창백,5,ER_TRAUMA,5,D_BLD_002,대량출혈
DQ_MASSIVE_BLEEDING_001,대량출혈,bleeding,피가 계속 흐르거나 압박해도 10분 이상 멈추지 않나요?,피;출혈;멈추지;압박;10분,5,ER_TRAUMA,5,D_BLD_002,대량출혈
DQ_MASSIVE_BLEEDING_002,대량출혈,bleeding,"피가 뿜어 나오거나 옷, 수건이 빠르게 젖을 정도인가요?",뿜어;많이;수건;옷젖음;대량,5,ER_TRAUMA,5,D_BLD_002,대량출혈
DQ_MASSIVE_BLEEDING_003,대량출혈,bleeding,"어지럽거나 식은땀, 창백함, 실신 느낌이 있나요?",어지럼;식은땀;창백;실신;기절,5,ER_TRAUMA,5,D_BLD_002,대량출혈
DQ_SNAKE_001,독사교상,toxic,"뱀에 물린 뒤 붓기, 통증, 어지럼이 있나요?",뱀;독사;물림;붓기;통증;어지럼,5,ER_GENERAL,5,D_TOX_005,독사교상
DQ_SNAKE_BITE_001,독사교상,toxic,물린 부위가 빠르게 붓거나 통증이 심해지고 있나요?,물림;붓기;부종;통증;악화,5,ER_GENERAL,5,D_TOX_005,독사교상
DQ_SNAKE_BITE_002,독사교상,toxic,"어지럼, 구토, 식은땀, 힘 빠짐 같은 전신 증상이 있나요?",어지럼;구토;식은땀;힘빠짐;전신,5,ER_GENERAL,5,D_TOX_005,독사교상
DQ_SNAKE_BITE_003,독사교상,toxic,물린 부위 주변 피부색이 검게 변하거나 물집이 생기나요?,피부색;검게;물집;괴사;변색,5,ER_GENERAL,5,D_TOX_005,독사교상
DQ_SNAKE_BITE_004,독사교상,toxic,숨이 차거나 입술·얼굴이 붓는 알레르기 증상이 있나요?,숨참;호흡곤란;입술부음;얼굴부음;알레르기,5,ER_GENERAL,5,D_TOX_005,독사교상
DQ_BEE_001,벌쏘임,allergy,벌에 쏘인 뒤 호흡곤란이나 얼굴 부종이 있나요?,벌;벌쏘임;호흡곤란;얼굴부음;입술부음,5,ER_GENERAL,5,D_ALG_002,벌쏘임
DQ_BEE_002,벌쏘임,allergy,쏘인 부위가 빠르게 붓거나 통증이 심해지나요?,붓기;부음;통증;쏘인,3,ER_GENERAL,3,D_ALG_002,벌쏘임
DQ_BEE_STING_001,벌쏘임,allergy,"벌에 쏘인 뒤 입술, 혀, 얼굴, 목이 붓나요?",벌;쏘임;입술부음;혀부음;얼굴부음;목부음,5,ER_GENERAL,5,D_ALG_002,벌쏘임
DQ_BEE_STING_002,벌쏘임,allergy,"숨쉬기 어렵거나 쌕쌕거림, 목이 조이는 느낌이 있나요?",숨쉬기힘듦;호흡곤란;쌕쌕;목조임,5,ER_GENERAL,5,D_ALG_002,벌쏘임
DQ_BEE_STING_003,벌쏘임,allergy,두드러기가 전신으로 퍼지거나 심하게 가렵나요?,두드러기;전신;가려움;발진,4,ER_GENERAL,4,D_ALG_002,벌쏘임
DQ_PERITONITIS_001,복막염,abdominal,배를 누르거나 움직일 때 통증이 심해지나요?,배누름;움직이면아픔;복통심함,4,ER_GENERAL,4,D_DIG_008,복막염
DQ_PERITONITIS_002,복막염,abdominal,열이 나거나 배가 딱딱하게 느껴지나요?,열;발열;배딱딱,4,ER_GENERAL,4,D_DIG_008,복막염
DQ_PERITONITIS_003,복막염,abdominal,배 전체가 딱딱하게 굳고 움직이면 통증이 심해지나요?,배딱딱;복부강직;움직이면아픔;반발통,5,ER_GENERAL,5,D_DIG_008,복막염
DQ_PERITONITIS_004,복막염,abdominal,찢어질 듯한 복통이 갑자기 시작됐나요?,찢어질듯;극심한복통;갑자기;복통,5,ER_GENERAL,5,D_DIG_008,복막염
DQ_PERITONITIS_005,복막염,abdominal,"고열, 오한, 식은땀이 함께 있나요?",고열;오한;식은땀;열,4,ER_GENERAL,4,D_DIG_008,복막염
DQ_ARRHYTHMIA_001,부정맥,cardio,심장이 불규칙하게 뛰거나 갑자기 매우 빠르게 뛰나요?,두근거림;불규칙;빠른맥;심계항진,5,ER_CARDIO,5,D_CAR_008,부정맥
DQ_ARRHYTHMIA_002,부정맥,cardio,가슴 통증이나 숨참이 함께 있나요?,가슴통증;흉통;숨참;호흡곤란,5,ER_CARDIO,5,D_CAR_008,부정맥
DQ_ARRHYTHMIA_003,부정맥,cardio,"어지럼, 실신, 쓰러질 것 같은 느낌이 있나요?",어지럼;실신;기절;쓰러질듯,5,ER_CARDIO,5,D_CAR_008,부정맥
DQ_ARR_001,부정맥,cardio,심장이 불규칙하게 뛰거나 두근거림이 심한가요?,심장;불규칙;두근거림;맥박,4,ER_CARDIO,4,D_CAR_008,부정맥
DQ_ARR_002,부정맥,cardio,"두근거림과 함께 어지럼, 실신 느낌이 있나요?",두근거림;어지럼;실신;기절,5,ER_CARDIO,4,D_CAR_008,부정맥
DQ_KIDNEY_001,신부전,urology,소변량이 급격히 줄거나 몸이 심하게 붓나요?,소변량감소;소변안나옴;부종;몸이부음,4,ER_GENERAL,4,D_TOX_006,신부전
DQ_RENAL_FAILURE_001,신부전,toxic,소변량이 평소보다 크게 줄거나 하루 종일 거의 나오지 않나요?,소변감소;무뇨;소변안나옴;소변량,5,ER_GENERAL,5,D_TOX_006,신부전
DQ_RENAL_FAILURE_002,신부전,toxic,다리나 얼굴이 붓고 숨이 차나요?,다리부음;얼굴부음;부종;숨참,4,ER_GENERAL,4,D_TOX_006,신부전
DQ_RENAL_FAILURE_003,신부전,toxic,"심한 구토, 설사, 탈수 뒤 증상이 생겼나요?",구토;설사;탈수;수분부족,4,ER_GENERAL,4,D_TOX_006,신부전
DQ_RENAL_FAILURE_004,신부전,toxic,"가슴 답답함, 심한 무기력, 의식 저하가 있나요?",가슴답답;무기력;의식저하;혼돈,5,ER_GENERAL,5,D_TOX_006,신부전
DQ_ARREST_001,심정지,cardio,의식이 없거나 정상적으로 숨을 쉬지 않나요?,의식없;호흡없;숨안쉼;반응없,5,ER_CARDIO,5,D_CAR_011,심정지
DQ_CARDIAC_ARREST_001,심정지,cardio,의식이 없고 부르거나 흔들어도 반응이 없나요?,의식없음;반응없음;쓰러짐;기절,5,ER_CARDIO,5,D_CAR_011,심정지
DQ_CARDIAC_ARREST_002,심정지,cardio,정상적으로 숨 쉬지 않거나 헐떡이는 숨만 있나요?,숨안쉼;헐떡임;호흡없음;비정상호흡,5,ER_CARDIO,5,D_CAR_011,심정지
DQ_CARDIAC_ARREST_003,심정지,cardio,맥박이 느껴지지 않거나 얼굴과 입술이 파래졌나요?,맥박없음;청색증;입술파래;얼굴파래,5,ER_CARDIO,5,D_CAR_011,심정지
DQ_CARDIAC_ARREST_004,심정지,cardio,갑작스럽게 쓰러지기 전 가슴 통증이나 숨참이 있었나요?,갑자기쓰러짐;가슴통증;숨참;흉통,5,ER_CARDIO,5,D_CAR_011,심정지
DQ_ANAPHYLAXIS_001,아나필락시스,allergy,"입술, 혀, 얼굴, 목이 붓거나 목이 조이는 느낌이 있나요?",입술부음;혀부음;얼굴부음;목부음;목조임,5,ER_GENERAL,5,D_ALG_003,아나필락시스
DQ_ANAPHYLAXIS_002,아나필락시스,allergy,숨쉬기 어렵거나 쌕쌕거림이 있나요?,숨쉬기힘듦;호흡곤란;쌕쌕;천명,5,ER_GENERAL,5,D_ALG_003,아나필락시스
DQ_ANAPH_001,아나필락시스,allergy,"얼굴, 입술, 목이 붓거나 숨쉬기 어려운가요?",얼굴부음;입술부음;목부음;숨쉬기어렵;호흡곤란,5,ER_GENERAL,5,D_ALG_003,아나필락시스
DQ_ANAPH_002,아나필락시스,allergy,전신 두드러기나 심한 가려움이 있나요?,두드러기;가려움;전신,4,ER_GENERAL,4,D_ALG_003,아나필락시스
DQ_ANAPH_003,아나필락시스,allergy,어지럽거나 쓰러질 것 같은 느낌이 있나요?,어지럼;쓰러질것;실신,5,ER_GENERAL,5,D_ALG_003,아나필락시스
DQ_DRUG_001,약물중독,toxic,약을 평소보다 많이 복용했거나 의도치 않게 먹었나요?,약많이;과다복용;약물중독,5,ER_GENERAL,5,D_TOX_008,약물중독
DQ_DRUG_POISONING_001,약물중독,toxic,약을 평소보다 많이 먹었거나 여러 종류를 함께 복용했나요?,약;많이;과다복용;여러종류;복용,5,ER_GENERAL,5,D_TOX_008,약물중독
DQ_DRUG_POISONING_002,약물중독,toxic,의식이 흐리거나 깨워도 반응이 둔한가요?,의식저하;졸림;반응둔함;혼돈,5,ER_GENERAL,5,D_TOX_008,약물중독
DQ_DRUG_POISONING_003,약물중독,toxic,호흡이 느려지거나 숨쉬기 힘든가요?,호흡느림;숨쉬기힘듦;호흡곤란;숨참,5,ER_RESP,5,D_TOX_008,약물중독
DQ_DRUG_POISONING_004,약물중독,toxic,"구토, 경련, 심한 어지럼이 있나요?",구토;경련;어지럼;발작,5,ER_GENERAL,5,D_TOX_008,약물중독
DQ_HEAT_STROKE_001,열사병,toxic,더운 환경 노출 뒤 체온이 높고 피부가 뜨겁나요?,더위;고온;체온;뜨거움;열사병,5,ER_GENERAL,5,D_TOX_009,열사병
DQ_HEAT_STROKE_002,열사병,toxic,의식이 혼란스럽거나 말이 이상하고 쓰러질 것 같나요?,의식혼란;말이상;쓰러짐;혼돈,5,ER_GENERAL,5,D_TOX_009,열사병
DQ_HEAT_STROKE_003,열사병,toxic,"땀이 나지 않거나 심한 두통, 구토가 있나요?",땀안남;두통;구토;메스꺼움,4,ER_GENERAL,4,D_TOX_009,열사병
DQ_HEAT_STROKE_004,열사병,toxic,"근육 경련이나 심한 무기력, 어지럼이 있나요?",근육경련;무기력;어지럼;탈진,4,ER_GENERAL,4,D_TOX_009,열사병
DQ_HEAT_STROKE_005,열사병,toxic,"고령자, 어린이, 만성질환자이거나 야외작업 중 발생했나요?",고령;어린이;만성질환;야외작업,3,ER_GENERAL,3,D_TOX_009,열사병
DQ_GIB_001,위장관출혈,abdominal,"피를 토하거나 검은 변, 혈변이 있었나요?",피토;토혈;검은변;혈변,5,ER_GENERAL,5,D_BLD_003,위장관출혈
DQ_GI_BLEEDING_001,위장관출혈,bleeding,피를 토했거나 커피색 구토를 했나요?,토혈;피토함;커피색구토;구토,5,ER_GENERAL,5,D_BLD_003,위장관출혈
DQ_GI_BLEEDING_002,위장관출혈,bleeding,검은 변이나 선홍색 혈변을 봤나요?,검은변;흑변;혈변;선홍색변,5,ER_GENERAL,5,D_BLD_003,위장관출혈
DQ_GI_BLEEDING_003,위장관출혈,bleeding,"어지럼, 식은땀, 창백함, 실신 느낌이 있나요?",어지럼;식은땀;창백;실신,5,ER_GENERAL,5,D_BLD_003,위장관출혈
DQ_GI_BLEEDING_004,위장관출혈,bleeding,복통이 심하거나 배가 딱딱하게 느껴지나요?,복통;배딱딱;복부강직;통증,4,ER_GENERAL,4,D_BLD_003,위장관출혈
DQ_DROWNING_001,익수,respiratory,물에 빠진 뒤 기침이나 숨참이 계속되나요?,물에빠짐;익수;기침;숨참;호흡곤란,5,ER_RESP,5,D_RESP_009,익수
DQ_DROWNING_002,익수,respiratory,의식을 잃었거나 구조 후 멍하고 반응이 느린가요?,의식잃음;반응느림;멍함;구조,5,ER_RESP,5,D_RESP_009,익수
DQ_DROWN_001,익수,respiratory,물에 빠진 뒤 현재 숨쉬기가 어렵나요?,물에빠;익수;숨쉬기어렵;호흡곤란,5,ER_RESP,5,D_RESP_009,익수
DQ_DROWN_002,익수,respiratory,의식이 흐려지거나 반응이 둔한가요?,의식흐림;반응둔함;의식저하,5,ER_RESP,5,D_RESP_009,익수
DQ_DROWN_003,익수,respiratory,기침이 계속되거나 물을 많이 삼킨 것 같나요?,기침;물을삼킴;삼킨,4,ER_RESP,4,D_RESP_009,익수
DQ_CO_001,일산화탄소중독,toxic,"밀폐된 공간에서 두통, 어지럼, 구토가 생겼나요?",밀폐;연탄;가스;두통;어지럼;구토,5,ER_GENERAL,5,D_TOX_010,일산화탄소중독
DQ_CO_POISONING_001,일산화탄소중독,toxic,"난방기, 연탄, 차량 안 등 밀폐 공간에 있다가 증상이 생겼나요?",난방기;연탄;차량;밀폐공간;일산화탄소,5,ER_GENERAL,5,D_TOX_010,일산화탄소중독
DQ_CO_POISONING_002,일산화탄소중독,toxic,"두통, 어지럼, 메스꺼움이 함께 있나요?",두통;어지럼;메스꺼움;구토,4,ER_GENERAL,4,D_TOX_010,일산화탄소중독
DQ_CO_POISONING_003,일산화탄소중독,toxic,같은 공간에 있던 다른 사람도 비슷한 증상이 있나요?,동반자;같은공간;여러명;비슷한증상,5,ER_GENERAL,5,D_TOX_010,일산화탄소중독
DQ_CO_POISONING_004,일산화탄소중독,toxic,의식이 흐리거나 쓰러진 적이 있나요?,의식저하;쓰러짐;실신;혼돈,5,ER_GENERAL,5,D_TOX_010,일산화탄소중독
DQ_BOWEL_OBSTRUCTION_001,장폐색,abdominal,배가 심하게 팽만하고 가스나 대변이 나오지 않나요?,복부팽만;가스안나옴;대변안나옴;변비,5,ER_GENERAL,5,D_DIG_015,장폐색
DQ_BOWEL_OBSTRUCTION_002,장폐색,abdominal,구토가 반복되거나 초록색·갈색 구토가 나오나요?,구토;반복구토;초록색구토;갈색구토,5,ER_GENERAL,5,D_DIG_015,장폐색
DQ_BOWEL_OBSTRUCTION_003,장폐색,abdominal,복통이 주기적으로 심해졌다 약해졌다 하나요?,복통;주기적;쥐어짜는;악화완화,4,ER_GENERAL,4,D_DIG_015,장폐색
DQ_BOWEL_OBSTRUCTION_004,장폐색,abdominal,"식은땀, 어지럼, 열이 동반되나요?",식은땀;어지럼;열;오한,4,ER_GENERAL,4,D_DIG_015,장폐색
DQ_OBS_001,장폐색,abdominal,"복부 팽만, 구토, 대변이나 가스가 안 나오는 증상이 있나요?",복부팽만;구토;가스안나옴;대변안나옴,4,ER_GENERAL,4,D_DIG_015,장폐색
DQ_HYPOTHERMIA_001,저체온증,toxic,추위 노출 뒤 몸이 심하게 떨리거나 체온이 낮게 느껴지나요?,추위;떨림;체온낮음;저체온;차가움,4,ER_GENERAL,5,D_TOX_011,저체온증
DQ_HYPOTHERMIA_002,저체온증,toxic,말이 어눌하거나 졸리고 의식이 흐려지나요?,말어눌;졸림;의식저하;혼돈,5,ER_GENERAL,5,D_TOX_011,저체온증
DQ_HYPOTHERMIA_003,저체온증,toxic,손발이 창백하거나 차갑고 감각이 둔한가요?,손발차가움;창백;감각저하;동상,4,ER_GENERAL,4,D_TOX_011,저체온증
DQ_HYPOTHERMIA_004,저체온증,toxic,"젖은 옷, 물에 빠짐, 야외 장시간 노출이 있었나요?",젖은옷;익수;야외;장시간;노출,4,ER_GENERAL,4,D_TOX_011,저체온증
DQ_HYPOTHERMIA_005,저체온증,toxic,"고령자, 어린이, 음주 상태이거나 만성질환이 있나요?",고령;어린이;음주;만성질환,3,ER_GENERAL,3,D_TOX_011,저체온증
DQ_ELECTRIC_001,전기손상,trauma,감전 후 의식을 잃었거나 잠깐이라도 정신이 멍해졌나요?,감전;전기;의식;정신;멍;기절,5,ER_TRAUMA,5,D_TRM_010,전기손상
DQ_ELECTRIC_002,전기손상,trauma,"가슴 통증, 심장 두근거림, 숨참이 있나요?",가슴통증;두근거림;숨참;호흡곤란;심장,5,ER_CARDIO,5,D_TRM_010,전기손상
DQ_ELECTRIC_003,전기손상,trauma,"감전 부위에 화상, 물집, 심한 통증이 있나요?",화상;물집;통증;감전부위,4,ER_TRAUMA,4,D_TRM_010,전기손상
DQ_ELECTRIC_004,전기손상,trauma,팔이나 다리에 힘이 빠지거나 저림이 계속되나요?,힘빠짐;저림;마비;팔;다리,4,ER_TRAUMA,4,D_TRM_010,전기손상
DQ_ELECTRIC_005,전기손상,trauma,고압 전기나 젖은 상태에서 감전된 상황인가요?,고압;젖은;물;전기,5,ER_TRAUMA,4,D_TRM_010,전기손상
DQ_CHOKE_001,질식,respiratory,목에 음식물이나 이물질이 걸린 것 같나요?,목에걸림;음식물;이물질,5,ER_RESP,5,D_RESP_010,질식
DQ_CHOKE_002,질식,respiratory,말을 하거나 기침하기 어려울 정도로 숨이 막히나요?,말못함;기침못함;숨막힘;질식,5,ER_RESP,5,D_RESP_010,질식
DQ_CHOKING_001,질식,respiratory,목에 음식이나 이물이 걸린 뒤 숨쉬기 어렵나요?,목걸림;음식;이물;숨쉬기힘듦;질식,5,ER_RESP,5,D_RESP_010,질식
DQ_CHOKING_002,질식,respiratory,말을 못 하거나 기침 소리가 거의 나오지 않나요?,말못함;기침안됨;소리안남;기도막힘,5,ER_RESP,5,D_RESP_010,질식
DQ_CHOKING_003,질식,respiratory,입술이나 얼굴이 파래지고 있나요?,입술파래;얼굴파래;청색증,5,ER_RESP,5,D_RESP_010,질식
DQ_DISLOCATION_001,탈구,trauma,관절 모양이 이상하거나 움직일 수 없나요?,관절;탈구;움직일수없;모양이상,4,ER_TRAUMA,4,D_TRM_013,탈구
DQ_DISLOCATION_002,탈구,trauma,관절 모양이 어긋나 보이거나 제자리에서 빠진 느낌인가요?,관절변형;빠짐;탈구;어긋남,4,ER_TRAUMA,5,D_TRM_013,탈구
DQ_DISLOCATION_003,탈구,trauma,통증 때문에 관절을 거의 움직일 수 없나요?,심한통증;못움직임;움직임제한;관절,4,ER_TRAUMA,4,D_TRM_013,탈구
DQ_DISLOCATION_004,탈구,trauma,손발 끝이 저리거나 감각이 둔하고 차갑나요?,저림;감각저하;차가움;창백,5,ER_TRAUMA,5,D_TRM_013,탈구
DQ_DISLOCATION_005,탈구,trauma,"넘어짐, 스포츠, 교통사고 뒤 발생했나요?",넘어짐;스포츠;교통사고;외상,3,ER_TRAUMA,3,D_TRM_013,탈구
DQ_RESP_FAIL_001,호흡부전,respiratory,가만히 있어도 숨이 차거나 입술이 파래지나요?,숨이차;입술파래;청색증;호흡곤란,5,ER_RESP,5,D_RESP_018,호흡부전
DQ_RESP_FAIL_002,호흡부전,respiratory,고열과 함께 숨쉬기 힘들거나 숨이 빠르게 차나요?,고열;숨쉬기힘듦;숨참;호흡곤란;빠른호흡,5,ER_RESP,5,D_RESP_018,호흡부전
DQ_RESP_FAIL_003,호흡부전,respiratory,"기침이나 가래, 흉통이 함께 있나요?",기침;가래;흉통;가슴통증,4,ER_RESP,4,D_RESP_018,호흡부전
DQ_RESP_FAIL_004,호흡부전,respiratory,말을 길게 하기 어렵거나 누우면 숨이 더 찬가요?,말하기어려움;누우면숨참;호흡곤란;숨참,5,ER_RESP,5,D_RESP_018,호흡부전
DQ_RESP_FAIL_005,호흡부전,respiratory,의식이 흐려지거나 심하게 처지고 어지러운가요?,의식저하;처짐;어지럼;혼돈,5,ER_RESP,5,D_RESP_018,호흡부전
DQ_FEVER_DYSPNEA_001,고열 동반 호흡곤란,respiratory,체온이 39도 이상이고 숨쉬기 힘든 상태가 계속되나요?,39도;40도;고열;숨쉬기힘듦;호흡곤란,5,ER_RESP,5,D_RESP_003,고열 동반 호흡곤란
DQ_FEVER_DYSPNEA_002,고열 동반 호흡곤란,respiratory,가만히 있어도 숨이 차거나 말하기 어려운가요?,숨참;말하기어려움;호흡곤란;빠른호흡,5,ER_RESP,5,D_RESP_003,고열 동반 호흡곤란
DQ_FEVER_DYSPNEA_003,고열 동반 호흡곤란,respiratory,"기침, 가래, 흉통이 함께 있나요?",기침;가래;흉통;가슴통증,4,ER_RESP,4,D_RESP_003,고열 동반 호흡곤란
DQ_FEVER_DYSPNEA_004,고열 동반 호흡곤란,respiratory,입술이 파래지거나 의식이 흐려지나요?,입술파래;청색증;의식저하;혼돈,5,ER_RESP,5,D_RESP_003,고열 동반 호흡곤란
DQ_FEVER_DYSPNEA_005,고열 동반 호흡곤란,respiratory,해열제를 써도 열이 떨어지지 않거나 오한이 심한가요?,해열제;열안떨어짐;오한;고열,4,ER_RESP,4,D_RESP_003,고열 동반 호흡곤란
DQ_BURN_001,화상,trauma,"화상 부위가 얼굴, 손, 발, 생식기 부위인가요?",얼굴;손;발;생식기;화상,5,ER_TRAUMA,5,D_TRM_014,화상
