disease_id,disease_name,aliases,symptom_group,body_part,disease_category,symptoms,related_diseases,department,severity_level,required_resource_code,is_emergency,is_model_target,source,mapping_status
D_CAR_004,급성 심근경색,AMI;심근경색,cardio,heart,emergency,가슴;가슴이;답답해요;식은땀;심근경색;아파요;왼쪽;왼팔통증;짓누르는가슴통증;통증;호흡곤란;흉통,,심장내과,5,ER_CARDIO,1,1,naver_kin;question_map;triage_rule,mapped
D_CAR_005,급성 심부전,,cardio,heart,emergency,거품가래;누우면 악화;다리부종;숨참;심부전;응급실;증상,,심장내과,5,ER_CARDIO,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_CAR_006,급성 호흡기 질환,,cardio,heart,emergency,,,내과,1,ER_CARDIO,1,0,triage_rule,mapped
D_SURG_002,급성복증,,surgery,surgery,emergency,,,내과,1,ER_GENERAL,1,0,triage_rule,mapped
D_DIG_003,급성췌장염,,abdominal,abdomen,emergency,,,내과,1,ER_GENERAL,1,0,question_map;triage_rule,mapped
D_RESP_004,기관지염,,respiratory,lung_airway,primary_care,2주;가래;기관지;기침;흉부불편,,호흡기내과,2,ER_RESP,0,1,naver_kin;question_map,mapped
D_FB_002,기도 이물,,foreign_body,airway_or_body,emergency,걸림;기침 못함;말 못함;목에;목에 걸림;음식물;응급실;증상;청색증,,응급의학과,5,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_RESP_005,기도폐쇄,,respiratory,lung_airway,emergency,기도폐쇄;숨을;쉬어요;안돼요;호흡이,,호흡기내과,5,ER_RESP,1,1,naver_kin;question_map,mapped
D_RESP_006,기흉,,respiratory,lung_airway,emergency,갑작스런;갑작스런 흉통;마른체형;숨참;응급실;증상;한쪽 가슴;호흡곤란;흉통,,호흡기내과,5,ER_RESP,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_NEU_002,긴장성 두통,,neuro,brain_nerve,specialty_care,띠두른느낌;목어깨;스트레스;압박감;조이는두통,,신경과,1,ER_NEURO,0,1,naver_kin;question_map,mapped
D_DIG_004,노로바이러스 의심 급성 위장염,,abdominal,abdomen,emergency,구토;굴;복통;생굴;설사;오한;응급실;증상;해산물,,소화기내과,4,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_NEU_003,뇌졸중,,neuro,brain_nerve,emergency,나와요;뇌졸중;돌아갔어요;말이;없어요;입이;한쪽;힘이,,신경과,4,ER_NEURO,1,1,naver_kin;question_map;triage_rule,mapped
D_TRM_004,뇌진탕 의심 두부손상,뇌진탕;두부손상,trauma,trauma,emergency,구토;기절;두부외상;맞음;머리;머리 맞음;사다리 추락;응급실;의식소실;증상,,응급의학과,5,ER_TRAUMA,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_FB_003,눈 이물,,foreign_body,airway_or_body,emergency,,,내과,1,ER_GENERAL,1,0,triage_rule,mapped
D_EYE_004,눈 화학손상,,eye,eye,emergency,눈 통증;락스;락스 눈;세척;시야 이상;응급실;증상;화학물질 눈,,안과,5,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_SURG_003,다발성골절,,surgery,surgery,emergency,,,내과,1,ER_GENERAL,1,0,triage_rule,mapped
D_TRM_005,다발성외상,,trauma,trauma,emergency,교통사고;여러 부위 손상;응급실;의식저하;증상;추락;출혈,,응급의학과,5,ER_TRAUMA,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_DIG_005,담낭염,,abdominal,abdomen,emergency,구토;기름진 음식;열;오른쪽;오른쪽 윗배;윗배;응급실;증상;황달,,소화기내과,4,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_DIG_006,담석증,,abdominal,abdomen,primary_care,구역;기름진음식;담석;복통;오른쪽윗배,,소화기내과,3,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_END_003,당뇨병,,endocrine,endocrine,specialty_care,갈증;물을자주;소변많이;체중감소;혈당,,내분비내과,2,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_TOX_003,당뇨병성 응급질환,,toxic,toxic_exposure,emergency,,,내과,1,ER_GENERAL,1,0,triage_rule,mapped
D_CAR_007,대동맥박리,,cardio,heart,emergency,대동맥;등 통증;실신;응급실;증상;찢어지는;찢어지는 흉통;혈압차;흉통,,응급의학과,5,ER_CARDIO,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_BLD_002,대량출혈,,bleeding,systemic,emergency,대량출혈;멈추지;심해요;않아요;출혈이;피가,,응급의학과,5,ER_TRAUMA,1,1,naver_kin;question_map;triage_rule,mapped
D_TOX_004,대사장애,,toxic,toxic_exposure,emergency,,,내과,1,ER_GENERAL,1,0,triage_rule,mapped
D_SKIN_001,대상포진,,skin,skin,primary_care,대상포진;띠모양;통증;한쪽물집;화끈거림,,피부과,3,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_SURG_004,대퇴골골절,,surgery,surgery,emergency,,,내과,1,ER_GENERAL,1,0,triage_rule,mapped
D_RESP_007,독감,,respiratory,lung_airway,primary_care,39도;고열;근육통;기침;몸살,,호흡기내과,3,ER_RESP,0,1,naver_kin;question_map,mapped
D_TOX_005,독사교상,,toxic,toxic_exposure,emergency,독사;독사교상;물렸어요;뱀에,,응급의학과,4,ER_GENERAL,1,1,naver_kin;question_map,mapped
D_ALG_001,두드러기,,allergy,systemic,specialty_care,가려움;갑자기;두드러기;부풀어오름;붉은발진,,피부과,2,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_MSK_001,디스크,,musculoskeletal,musculoskeletal,specialty_care,다리저림;디스크;방사통;좌골;허리통증,,정형외과,2,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_MSK_002,류마티스 관절염,,musculoskeletal,musculoskeletal,specialty_care,관절통;대칭;붓기;손가락관절;아침뻣뻣,,류마티스내과,2,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_EYE_005,망막박리 의심,,eye,eye,emergency,갑작스런 시력저하;날파리;번쩍임;시야 가림;응급실;증상;커튼,,안과,4,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_DIG_007,맹장염,급성 충수염;충수염,abdominal,abdomen,emergency,구역;구토;눌렀다 뗄 때 통증;발열;복통;아랫배;열;오른쪽;오른쪽 아랫배;오른쪽아랫배;응급실;증상;충수염,,외과,4,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_SKIN_002,무좀,,skin,skin,primary_care,가려움;무좀;발가락사이;벗겨짐;진물,,피부과,1,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_URO_003,방광염,,urology,urinary,specialty_care,배뇨통;빈뇨;소변자주;아랫배;잔뇨감,,비뇨의학과,1,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_ALG_002,벌쏘임,,allergy,systemic,specialty_care,말벌;벌독;벌에;쏘였어요,,알레르기내과,3,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_DIG_008,복막염,,abdominal,abdomen,emergency,누르면;딱딱해요;배가;배를;복막염;아파요,,소화기내과,4,ER_GENERAL,1,1,naver_kin;question_map;triage_rule,mapped
D_DIG_009,복부질환,,abdominal,abdomen,emergency,,,내과,1,ER_GENERAL,1,0,triage_rule,mapped
D_CAR_008,부정맥,,cardio,heart,emergency,두근거려요;뛰어요;맥박이;부정맥;불규칙해요;빨리;심장이,,심장내과,4,ER_CARDIO,1,1,naver_kin;question_map;triage_rule,mapped
D_OBG_001,분만 임박,,obgy,obgy,emergency,규칙적 통증;양수;응급실;임신;증상;진통;출산,,산부인과,5,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_PSY_003,불면증,,psychiatric,mental_health,primary_care,불면;수면부족;자주깸;잠들기어려움;피로,,정신건강의학과,1,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_URO_004,비뇨기 질환,,urology,urinary,emergency,,,내과,1,ER_GENERAL,1,0,triage_rule,mapped
D_HEM_001,빈혈,,hematology,blood,specialty_care,빈혈;숨참;어지럼;창백;피곤,,내과,2,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_OBG_002,산과적 응급상황,,obgy,obgy,emergency,,,내과,1,ER_GENERAL,1,0,triage_rule,mapped
D_OBG_003,산부인과적 응급상황,,obgy,obgy,emergency,,,내과,1,ER_GENERAL,1,0,triage_rule,mapped
D_PSY_004,섬망 의심,,psychiatric,mental_health,emergency,갑자기;갑자기 이상행동;고령;응급실;의식변화;이상행동;증상;혼돈;환각,,응급의학과,4,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_PED_001,소아 고열,,pediatric,pediatric,emergency,,,내과,1,ER_PED,1,0,triage_rule,mapped
D_PED_002,소아 탈수,,pediatric,pediatric,emergency,구토;눈물없음;설사;소변감소;아이;아이 설사;응급실;증상;축 처짐,,소아청소년과,4,ER_PED,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_CAR_009,쇼크,,cardio,heart,emergency,,,내과,1,ER_CARDIO,1,0,triage_rule,mapped
D_NEU_004,수막염 의심,뇌수막염;수막염,neuro,brain_nerve,emergency,고열;구토;두통;목 뻣뻣;목뻣뻣;심한두통;응급실;의식저하;증상,,응급의학과,5,ER_NEURO,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_FB_004,식도 이물,,foreign_body,airway_or_body,emergency,목통증;삼킴곤란;생선가시;응급실;증상;침흘림;흉통,,이비인후과,4,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_DIG_010,식중독,,abdominal,abdomen,emergency,구토;복통;상한;상한 음식;설사;열;음식;응급실;증상,,소화기내과,4,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_NEU_005,신경계 질환,,neuro,brain_nerve,emergency,,,내과,1,ER_NEURO,1,0,triage_rule,mapped
D_TOX_006,신부전,,toxic,toxic_exposure,emergency,나와요;몸이;부어요;소변이;신부전,,응급의학과,3,ER_GENERAL,1,1,naver_kin;question_map;triage_rule,mapped
D_URO_005,신장결석,,urology,urinary,specialty_care,결석;구역;옆구리통증;찢어질듯;혈뇨,,비뇨의학과,3,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_NEU_006,실신,,neuro,brain_nerve,emergency,기절;쓰러짐;어지럼;응급실;의식소실;증상;회복,,응급의학과,4,ER_NEURO,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_CAR_010,심부전,,cardio,heart,emergency,누우면숨참;다리부종;심부전;조금만걸어도숨참;피로,,심장내과,4,ER_CARDIO,1,1,naver_kin;question_map,mapped
D_CAR_011,심정지,,cardio,heart,emergency,같아요;느껴져요;맥박이;멈춘;숨을;쉬어요;심장이;심정지,,응급의학과,5,ER_CARDIO,1,1,naver_kin;question_map;triage_rule,mapped
D_ALG_003,아나필락시스,,allergy,systemic,emergency,두드러기;벌쏘임;부었어요;쇼크;숨참;알레르기;어지럼;얼굴이;응급실;입술부음;입술이;증상,,알레르기내과,5,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_SKIN_003,아토피,,skin,skin,primary_care,건조;붉음;습진;아토피;피부가려움,,피부과,1,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_TRM_006,안면외상,,trauma,trauma,emergency,다침;시야 이상;얼굴;얼굴 다침;응급실;증상;치아 손상;코피;턱 통증,,응급의학과,4,ER_TRAUMA,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_RESP_008,알레르기 비염,,respiratory,lung_airway,primary_care,가려움;알레르기;재채기;코막힘;콧물,,이비인후과,1,ER_RESP,0,1,naver_kin;question_map,mapped
D_TOX_007,알코올중독,,toxic,toxic_exposure,emergency,구토;만취;술;응급실;의식저하;증상;호흡느림,,응급의학과,4,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_TRM_007,압궤손상,,trauma,trauma,emergency,감각저하;끼임;눌림;붓기;압궤;응급실;증상,,응급의학과,5,ER_TRAUMA,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_TOX_008,약물중독,,toxic,toxic_exposure,emergency,과다복용;너무;많이;먹었어요;수면제;약을,,응급의학과,4,ER_GENERAL,1,1,naver_kin;question_map;triage_rule,mapped
D_NEU_007,어지럼증,,neuro,brain_nerve,emergency,,,내과,1,ER_NEURO,1,0,triage_rule,mapped
D_DIG_011,역류성 식도염,,abdominal,abdomen,primary_care,가슴쓰림;속쓰림;신물;역류;트림,,소화기내과,1,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_TOX_009,열사병,,toxic,toxic_exposure,emergency,고열;고온;더위;땀 안남;먹었어요;어지러움;열사병;응급실;의식혼란;증상,,응급의학과,5,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_PED_003,열성경련,고열 경련;소아 고열 경련,pediatric,pediatric,emergency,경련;고열;반복;발작;아이;아이 고열;응급실;의식;증상,,소아청소년과,5,ER_PED,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_PED_004,영아 호흡곤란,,pediatric,pediatric,emergency,수유곤란;숨참;쌕쌕;아기;응급실;증상;청색증,,소아청소년과,5,ER_PED,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_MSK_003,오십견,,musculoskeletal,musculoskeletal,specialty_care,밤통증;어깨통증;오십견;운동제한;팔안올라감,,정형외과,1,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_SURG_005,외과적 응급질환,,surgery,surgery,emergency,,,내과,1,ER_GENERAL,1,0,triage_rule,mapped
D_TRM_008,외상,,trauma,trauma,emergency,,,내과,1,ER_TRAUMA,1,0,triage_rule,mapped
D_TRM_009,외상성 뇌손상,,trauma,trauma,emergency,두개골골절;두부손상;두통악화;반복구토;응급실;의식저하;증상,,응급의학과,5,ER_TRAUMA,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_URO_006,요로감염,,urology,urinary,specialty_care,배뇨통;소변통증;열;옆구리통증;오한,,비뇨의학과,3,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_URO_007,요로결석,,urology,urinary,emergency,구토;극심한 통증;소변통;옆구리;옆구리 통증;응급실;증상;통증;혈뇨,,비뇨의학과,4,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_PSY_005,우울증,,psychiatric,mental_health,primary_care,무기력;수면변화;식욕변화;우울;흥미저하,,정신건강의학과,2,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_DIG_012,위궤양,,abdominal,abdomen,primary_care,검은변;구토;속쓰림;식후명치통증;위통,,소화기내과,2,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_DIG_013,위염,,abdominal,abdomen,primary_care,메스꺼움;명치쓰림;소화불량;속불편;위통,,소화기내과,1,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_BLD_003,위장관출혈,,bleeding,systemic,emergency,검은변;토했어요;피를;혈변,,응급의학과,4,ER_TRAUMA,1,1,naver_kin;question_map;triage_rule,mapped
D_RESP_009,익수,,respiratory,lung_airway,emergency,먹고;물에;빠졌어요;사고;수영장;숨쉬기;익수;힘들어요,,호흡기내과,5,ER_RESP,1,1,naver_kin;question_map,mapped
D_TOX_010,일산화탄소중독,,toxic,toxic_exposure,emergency,가스;두통;보일러;어지럼;여러명 증상;연탄;연탄가스;응급실;일산화탄소;중독;증상,,응급의학과,5,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_OBG_004,임신 중 복통출혈,,obgy,obgy,emergency,복통;어지럼;응급실;임신;증상;질출혈;태동감소,,산부인과,5,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_OBG_005,자궁외임신 의심,,obgy,obgy,emergency,실신;아랫배통증;어지럼;응급실;임신초기;증상;질출혈,,산부인과,5,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_PSY_006,자살위험,,psychiatric,mental_health,emergency,약 먹음;유서;응급실;자살;자해;죽고싶다;증상,,정신건강의학과,5,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_DIG_014,장염,,abdominal,abdomen,primary_care,구토;복통;설사;열;장염,,소화기내과,2,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_DIG_015,장폐색,,abdominal,abdomen,emergency,나와요;방귀가;변이;장폐색,,소화기내과,4,ER_GENERAL,1,1,naver_kin;question_map;triage_rule,mapped
D_TOX_011,저체온증,,toxic,toxic_exposure,emergency,낮아요;너무;떨림;응급실;의식저하;저체온증;젖은 옷;증상;체온이;체온저하;추위;추위노출,,응급의학과,5,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_TOX_012,저혈당,,toxic,toxic_exposure,emergency,당뇨;손떨림;식은땀;응급실;의식저하;증상;혈당 낮음,,응급의학과,5,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_TRM_010,전기손상,감전,trauma,trauma,emergency,감전;전기;전류가;충격;콘센트;흘렀어요,,응급의학과,4,ER_TRAUMA,1,1,naver_kin;question_map,mapped
D_URO_008,전립선염,,urology,urinary,specialty_care,골반통증;배뇨불편;빈뇨;전립선;회음부통증,,비뇨의학과,2,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_TRM_011,절단손상,,trauma,trauma,emergency,발가락 절단;손가락;손가락 절단;압궤;응급실;절단;증상;출혈,,응급의학과,5,ER_TRAUMA,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_PSY_007,정신과적 응급상황,,psychiatric,mental_health,emergency,,,내과,1,ER_GENERAL,1,0,triage_rule,mapped
D_TOX_013,중독,,toxic,toxic_exposure,emergency,,,내과,1,ER_GENERAL,1,0,triage_rule,mapped
D_ENT_001,중이염,,ent,ear_nose_throat,primary_care,귀먹먹;귀통증;발열;이통;청력저하,,이비인후과,2,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_DIG_016,중증 탈수,탈수,abdominal,abdomen,emergency,반복구토;설사;소변감소;어지럼;응급실;입마름;증상,,응급의학과,5,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_SURG_006,중증외상,,surgery,surgery,emergency,,,내과,1,ER_GENERAL,1,0,triage_rule,mapped
D_SURG_007,중증화상,,surgery,surgery,emergency,,,내과,1,ER_GENERAL,1,0,triage_rule,mapped
D_RESP_010,질식,,respiratory,lung_airway,emergency,걸렸어요;막혀요;목에;숨이;음식이;질식,,호흡기내과,5,ER_RESP,1,1,naver_kin;question_map,mapped
D_SURG_008,척추골절,,surgery,surgery,emergency,,,내과,1,ER_GENERAL,1,0,triage_rule,mapped
D_TRM_012,척추손상,,trauma,trauma,emergency,감각저하;대소변장애;마비;외상;응급실;증상;추락;허리;허리 외상,,응급의학과,5,ER_TRAUMA,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_RESP_011,천식,,respiratory,lung_airway,emergency,기침;숨참;쌕쌕;천명;호흡곤란,,호흡기내과,4,ER_RESP,1,1,naver_kin;question_map,mapped
D_RESP_012,천식 악화,,respiratory,lung_airway,emergency,말하기 어려움;숨참;쌕쌕;응급실;증상;천식;흡입기,,호흡기내과,5,ER_RESP,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_NEU_008,치매 초기,,neuro,brain_nerve,specialty_care,건망증;기억저하;길잃음;인지저하;최근기억,,신경과,1,ER_NEURO,0,1,naver_kin;question_map,mapped
D_FB_005,코 이물,,foreign_body,airway_or_body,emergency,,,내과,1,ER_GENERAL,1,0,triage_rule,mapped
D_RESP_013,코로나19,,respiratory,lung_airway,primary_care,기침;미각저하;열;인후통;후각저하,,호흡기내과,3,ER_RESP,0,1,naver_kin;question_map,mapped
D_TRM_013,탈구,,trauma,trauma,emergency,빠졌어요;손가락;어깨가;탈골;탈구,,정형외과,3,ER_TRAUMA,1,1,naver_kin;question_map;triage_rule,mapped
D_MSK_004,통풍,,musculoskeletal,musculoskeletal,specialty_care,관절;극심한통증;붓기;엄지발가락;통풍,,류마티스내과,3,OPD_GENERAL,0,1,naver_kin;question_map,mapped
D_INF_001,패혈증 의심,패혈증,infection,systemic,emergency,고열;응급실;의식저하;저체온;증상;혈압저하;호흡빠름,,응급의학과,5,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_RESP_014,편도염,,respiratory,lung_airway,primary_care,고열;목통증;인후통;침삼킴곤란;편도,,이비인후과,2,ER_RESP,0,1,naver_kin;question_map,mapped
D_NEU_009,편두통,,neuro,brain_nerve,specialty_care,구역;두통;빛;욱신;한쪽머리,,신경과,2,ER_NEURO,0,1,naver_kin;question_map,mapped
D_NEU_010,편두통 위험징후,,neuro,brain_nerve,emergency,구토;두통;반복;시야번쩍;응급실;증상;편측,,신경과,3,ER_NEURO,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_RESP_015,폐렴,,respiratory,lung_airway,emergency,가래;가슴통증;고열;기침;숨참,,호흡기내과,4,ER_RESP,1,1,naver_kin;question_map,mapped
D_RESP_016,폐렴 의심 고열,,respiratory,lung_airway,emergency,가래;고열;기침;숨참;응급실;증상;흉통,,호흡기내과,4,ER_RESP,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_RESP_017,폐색전증,,respiratory,lung_airway,emergency,갑작스런;갑작스런 숨참;다리부종;수술후;숨참;응급실;장거리 이동;증상;흉통,,응급의학과,5,ER_RESP,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_FB_006,항문 이물,,foreign_body,airway_or_body,emergency,,,내과,1,ER_GENERAL,1,0,triage_rule,mapped
D_ALG_004,혈관부종,,allergy,systemic,emergency,목조임;알레르기;약물;응급실;입술부음;증상;혀부음,,알레르기내과,5,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
D_SURG_009,혈관손상,,surgery,surgery,emergency,,,내과,1,ER_GENERAL,1,0,triage_rule,mapped
D_CAR_012,협심증,,cardio,heart,emergency,가슴조임;숨참;운동시흉통;협심증;휴식시완화,,심장내과,4,ER_CARDIO,1,1,naver_kin;question_map,mapped
D_RESP_018,호흡부전,,respiratory,lung_airway,emergency,,,내과,1,ER_RESP,1,0,question_map;triage_rule,mapped
D_TRM_014,화상,,trauma,trauma,emergency,3도;데였어요;뜨거운;물에;물집;화상,,정형외과,3,ER_TRAUMA,1,1,naver_kin;question_map;triage_rule,mapped
D_TOX_014,화학물질중독,,toxic,toxic_exposure,emergency,구토;농약;농약을;락스;마셨어요;먹었어요;세제;응급실;주방세제를;증상;화학물질을;흡입,,응급의학과,5,ER_GENERAL,1,1,emergency_master;naver_kin;question_map;triage_rule,mapped
