case_id,raw_text,cleaned_text,symptom_keywords,symptom_group,department,suspected_disease,severity_level,remove_reason
320,눈 이물 때문에 병원 가야 하나요,눈 이물 때문에 병원 가야 하나요,눈 이물,eye,안과,눈 이물,2,bad_pattern:때문에 병원 가야 하나요
322,눈 이물가 계속됩니다,눈 이물가 계속됩니다,눈 이물,eye,안과,눈 이물,2,bad_pattern:가 계속됩니다
326,다발성외상가 계속됩니다,다발성외상가 계속됩니다,다발성외상,trauma,정형외과,다발성외상,4,bad_pattern:가 계속됩니다
328,다발성외상 증상인데 위험한가요,다발성외상 증상인데 위험한가요,다발성외상,trauma,정형외과,다발성외상,4,bad_pattern:증상인데 위험한가요
339,다발성외상 때문에 병원 가야 하나요,다발성외상 때문에 병원 가야 하나요,다발성외상,trauma,정형외과,다발성외상,4,bad_pattern:때문에 병원 가야 하나요
346,당뇨병성 응급질환 증상인데 위험한가요,당뇨병성 응급질환 증상인데 위험한가요,당뇨병성 응급질환,toxic,응급의학과,당뇨병성 응급질환,3,bad_pattern:증상인데 위험한가요
350,당뇨병성 응급질환 때문에 병원 가야 하나요,당뇨병성 응급질환 때문에 병원 가야 하나요,당뇨병성 응급질환,toxic,응급의학과,당뇨병성 응급질환,3,bad_pattern:때문에 병원 가야 하나요
356,당뇨병성 응급질환가 계속됩니다,당뇨병성 응급질환가 계속됩니다,당뇨병성 응급질환,toxic,응급의학과,당뇨병성 응급질환,3,bad_pattern:가 계속됩니다
360,대퇴골골절 증상인데 위험한가요,대퇴골골절 증상인데 위험한가요,대퇴골골절,trauma,정형외과,대퇴골골절,4,bad_pattern:증상인데 위험한가요
362,대퇴골골절 때문에 병원 가야 하나요,대퇴골골절 때문에 병원 가야 하나요,대퇴골골절,trauma,정형외과,대퇴골골절,4,bad_pattern:때문에 병원 가야 하나요
366,대퇴골골절가 계속됩니다,대퇴골골절가 계속됩니다,대퇴골골절,trauma,정형외과,대퇴골골절,4,bad_pattern:가 계속됩니다
375,독사교상 때문에 병원 가야 하나요,독사교상 때문에 병원 가야 하나요,독사교상,toxic,응급의학과,독사교상,4,bad_pattern:때문에 병원 가야 하나요
377,독사교상 증상인데 위험한가요,독사교상 증상인데 위험한가요,독사교상,toxic,응급의학과,독사교상,4,bad_pattern:증상인데 위험한가요
378,독사교상가 계속됩니다,독사교상가 계속됩니다,독사교상,toxic,응급의학과,독사교상,4,bad_pattern:가 계속됩니다
392,배뇨장애 증상인데 위험한가요,배뇨장애 증상인데 위험한가요,배뇨장애,urology,비뇨의학과,배뇨장애,3,bad_pattern:증상인데 위험한가요
393,배뇨장애 때문에 병원 가야 하나요,배뇨장애 때문에 병원 가야 하나요,배뇨장애,urology,비뇨의학과,배뇨장애,3,bad_pattern:때문에 병원 가야 하나요
400,배뇨장애가 계속됩니다,배뇨장애가 계속됩니다,배뇨장애,urology,비뇨의학과,배뇨장애,3,bad_pattern:가 계속됩니다
409,벌쏘임 때문에 병원 가야 하나요,벌쏘임 때문에 병원 가야 하나요,벌쏘임,allergy,응급의학과,벌쏘임,3,bad_pattern:때문에 병원 가야 하나요
411,벌쏘임 증상인데 위험한가요,벌쏘임 증상인데 위험한가요,벌쏘임,allergy,응급의학과,벌쏘임,3,bad_pattern:증상인데 위험한가요
412,벌쏘임가 계속됩니다,벌쏘임가 계속됩니다,벌쏘임,allergy,응급의학과,벌쏘임,3,bad_pattern:가 계속됩니다
426,복막염 증상인데 위험한가요,복막염 증상인데 위험한가요,복막염,abdominal,소화기내과,복막염,4,bad_pattern:증상인데 위험한가요
427,복막염 때문에 병원 가야 하나요,복막염 때문에 병원 가야 하나요,복막염,abdominal,소화기내과,복막염,4,bad_pattern:때문에 병원 가야 하나요
434,복막염가 계속됩니다,복막염가 계속됩니다,복막염,abdominal,소화기내과,복막염,4,bad_pattern:가 계속됩니다
449,부정맥 때문에 병원 가야 하나요,부정맥 때문에 병원 가야 하나요,부정맥,cardio,심장내과,부정맥,4,bad_pattern:때문에 병원 가야 하나요
452,부정맥 증상인데 위험한가요,부정맥 증상인데 위험한가요,부정맥,cardio,심장내과,부정맥,4,bad_pattern:증상인데 위험한가요
454,부정맥가 계속됩니다,부정맥가 계속됩니다,부정맥,cardio,심장내과,부정맥,4,bad_pattern:가 계속됩니다
464,산과적 응급상황 증상인데 위험한가요,산과적 응급상황 증상인데 위험한가요,산과적 응급상황,obgy,산부인과,산과적 응급상황,2,bad_pattern:증상인데 위험한가요
472,산과적 응급상황 때문에 병원 가야 하나요,산과적 응급상황 때문에 병원 가야 하나요,산과적 응급상황,obgy,산부인과,산과적 응급상황,2,bad_pattern:때문에 병원 가야 하나요
474,산과적 응급상황가 계속됩니다,산과적 응급상황가 계속됩니다,산과적 응급상황,obgy,산부인과,산과적 응급상황,2,bad_pattern:가 계속됩니다
478,성폭력 관련 응급상황가 계속됩니다,성폭력 관련 응급상황가 계속됩니다,성폭력 관련 응급상황,obgy,산부인과,성폭력 관련 응급상황,2,bad_pattern:가 계속됩니다
480,성폭력 관련 응급상황 증상인데 위험한가요,성폭력 관련 응급상황 증상인데 위험한가요,성폭력 관련 응급상황,obgy,산부인과,성폭력 관련 응급상황,2,bad_pattern:증상인데 위험한가요
491,성폭력 관련 응급상황 때문에 병원 가야 하나요,성폭력 관련 응급상황 때문에 병원 가야 하나요,성폭력 관련 응급상황,obgy,산부인과,성폭력 관련 응급상황,2,bad_pattern:때문에 병원 가야 하나요
495,쇼크 증상인데 위험한가요,쇼크 증상인데 위험한가요,쇼크,cardio,심장내과,쇼크,5,bad_pattern:증상인데 위험한가요
503,쇼크 때문에 병원 가야 하나요,쇼크 때문에 병원 가야 하나요,쇼크,cardio,심장내과,쇼크,5,bad_pattern:때문에 병원 가야 하나요
505,쇼크가 계속됩니다,쇼크가 계속됩니다,쇼크,cardio,심장내과,쇼크,5,bad_pattern:가 계속됩니다
511,신부전 증상인데 위험한가요,신부전 증상인데 위험한가요,신부전,urology,비뇨의학과,신부전,2,bad_pattern:증상인데 위험한가요
519,신부전 때문에 병원 가야 하나요,신부전 때문에 병원 가야 하나요,신부전,urology,비뇨의학과,신부전,2,bad_pattern:때문에 병원 가야 하나요
521,신부전가 계속됩니다,신부전가 계속됩니다,신부전,urology,비뇨의학과,신부전,2,bad_pattern:가 계속됩니다
532,심정지가 계속됩니다,심정지가 계속됩니다,심정지,cardio,응급의학과,심정지,5,bad_pattern:가 계속됩니다
533,심정지 증상인데 위험한가요,심정지 증상인데 위험한가요,심정지,cardio,응급의학과,심정지,5,bad_pattern:증상인데 위험한가요
540,심정지 때문에 병원 가야 하나요,심정지 때문에 병원 가야 하나요,심정지,cardio,응급의학과,심정지,5,bad_pattern:때문에 병원 가야 하나요
546,아나필락시스 증상인데 위험한가요,아나필락시스 증상인데 위험한가요,아나필락시스,allergy,알레르기내과,아나필락시스,4,bad_pattern:증상인데 위험한가요
554,아나필락시스 때문에 병원 가야 하나요,아나필락시스 때문에 병원 가야 하나요,아나필락시스,allergy,알레르기내과,아나필락시스,4,bad_pattern:때문에 병원 가야 하나요
556,아나필락시스가 계속됩니다,아나필락시스가 계속됩니다,아나필락시스,allergy,알레르기내과,아나필락시스,4,bad_pattern:가 계속됩니다
562,알코올중독 증상인데 위험한가요,알코올중독 증상인데 위험한가요,알코올중독,toxic,응급의학과,알코올중독,4,bad_pattern:증상인데 위험한가요
563,알코올중독 때문에 병원 가야 하나요,알코올중독 때문에 병원 가야 하나요,알코올중독,toxic,응급의학과,알코올중독,4,bad_pattern:때문에 병원 가야 하나요
570,알코올중독가 계속됩니다,알코올중독가 계속됩니다,알코올중독,toxic,응급의학과,알코올중독,4,bad_pattern:가 계속됩니다
576,약물중독 증상인데 위험한가요,약물중독 증상인데 위험한가요,약물중독,toxic,응급의학과,약물중독,4,bad_pattern:증상인데 위험한가요
584,약물중독 때문에 병원 가야 하나요,약물중독 때문에 병원 가야 하나요,약물중독,toxic,응급의학과,약물중독,4,bad_pattern:때문에 병원 가야 하나요
586,약물중독가 계속됩니다,약물중독가 계속됩니다,약물중독,toxic,응급의학과,약물중독,4,bad_pattern:가 계속됩니다
592,어지럼증 증상인데 위험한가요,어지럼증 증상인데 위험한가요,어지럼증,neuro,신경과,어지럼증,3,bad_pattern:증상인데 위험한가요
600,어지럼증 때문에 병원 가야 하나요,어지럼증 때문에 병원 가야 하나요,어지럼증,neuro,신경과,어지럼증,3,bad_pattern:때문에 병원 가야 하나요
602,어지럼증가 계속됩니다,어지럼증가 계속됩니다,어지럼증,neuro,신경과,어지럼증,3,bad_pattern:가 계속됩니다
608,열성경련 증상인데 위험한가요,열성경련 증상인데 위험한가요,열성경련,pediatric,소아청소년과,열성경련,4,bad_pattern:증상인데 위험한가요
609,열성경련 때문에 병원 가야 하나요,열성경련 때문에 병원 가야 하나요,열성경련,pediatric,소아청소년과,열성경련,4,bad_pattern:때문에 병원 가야 하나요
616,열성경련가 계속됩니다,열성경련가 계속됩니다,열성경련,pediatric,소아청소년과,열성경련,4,bad_pattern:가 계속됩니다
619,외상 증상인데 위험한가요,외상 증상인데 위험한가요,외상,trauma,정형외과,외상,3,bad_pattern:증상인데 위험한가요
620,외상가 계속됩니다,외상가 계속됩니다,외상,trauma,정형외과,외상,3,bad_pattern:가 계속됩니다
627,외상 때문에 병원 가야 하나요,외상 때문에 병원 가야 하나요,외상,trauma,정형외과,외상,3,bad_pattern:때문에 병원 가야 하나요
638,외상성 뇌손상 증상인데 위험한가요,외상성 뇌손상 증상인데 위험한가요,외상성 뇌손상,neuro,응급의학과,외상성 뇌손상,4,bad_pattern:증상인데 위험한가요
642,외상성 뇌손상 때문에 병원 가야 하나요,외상성 뇌손상 때문에 병원 가야 하나요,외상성 뇌손상,neuro,응급의학과,외상성 뇌손상,4,bad_pattern:때문에 병원 가야 하나요
648,외상성 뇌손상가 계속됩니다,외상성 뇌손상가 계속됩니다,외상성 뇌손상,neuro,응급의학과,외상성 뇌손상,4,bad_pattern:가 계속됩니다
653,위장관출혈 증상인데 위험한가요,위장관출혈 증상인데 위험한가요,위장관출혈,abdominal,소화기내과,위장관출혈,4,bad_pattern:증상인데 위험한가요
654,위장관출혈 때문에 병원 가야 하나요,위장관출혈 때문에 병원 가야 하나요,위장관출혈,abdominal,소화기내과,위장관출혈,4,bad_pattern:때문에 병원 가야 하나요
661,위장관출혈가 계속됩니다,위장관출혈가 계속됩니다,위장관출혈,abdominal,소화기내과,위장관출혈,4,bad_pattern:가 계속됩니다
670,응급수술 필요 증상인데 위험한가요,응급수술 필요 증상인데 위험한가요,응급수술 필요,etc_emerg,응급의학과,응급수술 필요,4,bad_pattern:증상인데 위험한가요
674,응급수술 필요 때문에 병원 가야 하나요,응급수술 필요 때문에 병원 가야 하나요,응급수술 필요,etc_emerg,응급의학과,응급수술 필요,4,bad_pattern:때문에 병원 가야 하나요
678,응급수술 관련 문의드립니다,응급수술 관련 문의드립니다,응급수술,etc_emerg,응급의학과,응급수술 필요,4,bad_pattern:관련 문의
680,응급수술 필요가 계속됩니다,응급수술 필요가 계속됩니다,응급수술 필요,etc_emerg,응급의학과,응급수술 필요,4,bad_pattern:가 계속됩니다
688,익수 때문에 병원 가야 하나요,익수 때문에 병원 가야 하나요,익수,respiratory,응급의학과,익수,5,bad_pattern:때문에 병원 가야 하나요
690,익수 증상인데 위험한가요,익수 증상인데 위험한가요,익수,respiratory,응급의학과,익수,5,bad_pattern:증상인데 위험한가요
691,익수가 계속됩니다,익수가 계속됩니다,익수,respiratory,응급의학과,익수,5,bad_pattern:가 계속됩니다
708,일산화탄소중독 때문에 병원 가야 하나요,일산화탄소중독 때문에 병원 가야 하나요,일산화탄소중독,toxic,응급의학과,일산화탄소중독,4,bad_pattern:때문에 병원 가야 하나요
710,일산화탄소중독 증상인데 위험한가요,일산화탄소중독 증상인데 위험한가요,일산화탄소중독,toxic,응급의학과,일산화탄소중독,4,bad_pattern:증상인데 위험한가요
711,일산화탄소중독가 계속됩니다,일산화탄소중독가 계속됩니다,일산화탄소중독,toxic,응급의학과,일산화탄소중독,4,bad_pattern:가 계속됩니다
723,장폐색가 계속됩니다,장폐색가 계속됩니다,장폐색,abdominal,소화기내과,장폐색,4,bad_pattern:가 계속됩니다
725,장폐색 증상인데 위험한가요,장폐색 증상인데 위험한가요,장폐색,abdominal,소화기내과,장폐색,4,bad_pattern:증상인데 위험한가요
736,장폐색 때문에 병원 가야 하나요,장폐색 때문에 병원 가야 하나요,장폐색,abdominal,소화기내과,장폐색,4,bad_pattern:때문에 병원 가야 하나요
743,전기손상 때문에 병원 가야 하나요,전기손상 때문에 병원 가야 하나요,전기손상,trauma,응급의학과,전기손상,4,bad_pattern:때문에 병원 가야 하나요
745,전기손상 증상인데 위험한가요,전기손상 증상인데 위험한가요,전기손상,trauma,응급의학과,전기손상,4,bad_pattern:증상인데 위험한가요
746,전기손상가 계속됩니다,전기손상가 계속됩니다,전기손상,trauma,응급의학과,전기손상,4,bad_pattern:가 계속됩니다
758,정신과적 응급상황가 계속됩니다,정신과적 응급상황가 계속됩니다,정신과적 응급상황,psychiatric,정신건강의학과,정신과적 응급상황,4,bad_pattern:가 계속됩니다
760,정신과적 응급상황 증상인데 위험한가요,정신과적 응급상황 증상인데 위험한가요,정신과적 응급상황,psychiatric,정신건강의학과,정신과적 응급상황,4,bad_pattern:증상인데 위험한가요
771,정신과적 응급상황 때문에 병원 가야 하나요,정신과적 응급상황 때문에 병원 가야 하나요,정신과적 응급상황,psychiatric,정신건강의학과,정신과적 응급상황,4,bad_pattern:때문에 병원 가야 하나요
773,중증 외상가 계속됩니다,중증 외상가 계속됩니다,중증 외상,trauma,정형외과,중증 외상,5,bad_pattern:가 계속됩니다
775,중증 외상 증상인데 위험한가요,중증 외상 증상인데 위험한가요,중증 외상,trauma,정형외과,중증 외상,5,bad_pattern:증상인데 위험한가요
786,중증 외상 때문에 병원 가야 하나요,중증 외상 때문에 병원 가야 하나요,중증 외상,trauma,정형외과,중증 외상,5,bad_pattern:때문에 병원 가야 하나요
790,중증 탈수 증상인데 위험한가요,중증 탈수 증상인데 위험한가요,중증 탈수,toxic,응급의학과,중증 탈수,3,bad_pattern:증상인데 위험한가요
791,중증 탈수 때문에 병원 가야 하나요,중증 탈수 때문에 병원 가야 하나요,중증 탈수,toxic,응급의학과,중증 탈수,3,bad_pattern:때문에 병원 가야 하나요
798,중증 탈수가 계속됩니다,중증 탈수가 계속됩니다,중증 탈수,toxic,응급의학과,중증 탈수,3,bad_pattern:가 계속됩니다
807,질식 때문에 병원 가야 하나요,질식 때문에 병원 가야 하나요,질식,respiratory,응급의학과,질식,5,bad_pattern:때문에 병원 가야 하나요
809,질식 증상인데 위험한가요,질식 증상인데 위험한가요,질식,respiratory,응급의학과,질식,5,bad_pattern:증상인데 위험한가요
810,질식가 계속됩니다,질식가 계속됩니다,질식,respiratory,응급의학과,질식,5,bad_pattern:가 계속됩니다
823,척추골절 증상인데 위험한가요,척추골절 증상인데 위험한가요,척추골절,trauma,정형외과,척추골절,4,bad_pattern:증상인데 위험한가요
825,척추골절 때문에 병원 가야 하나요,척추골절 때문에 병원 가야 하나요,척추골절,trauma,정형외과,척추골절,4,bad_pattern:때문에 병원 가야 하나요
829,척추골절가 계속됩니다,척추골절가 계속됩니다,척추골절,trauma,정형외과,척추골절,4,bad_pattern:가 계속됩니다
833,코 이물가 계속됩니다,코 이물가 계속됩니다,코 이물,foreign_body,이비인후과,코 이물,2,bad_pattern:가 계속됩니다
835,코 이물 증상인데 위험한가요,코 이물 증상인데 위험한가요,코 이물,foreign_body,이비인후과,코 이물,2,bad_pattern:증상인데 위험한가요
846,코 이물 때문에 병원 가야 하나요,코 이물 때문에 병원 가야 하나요,코 이물,foreign_body,이비인후과,코 이물,2,bad_pattern:때문에 병원 가야 하나요
850,탈구 증상인데 위험한가요,탈구 증상인데 위험한가요,탈구,trauma,정형외과,탈구,3,bad_pattern:증상인데 위험한가요
853,탈구 때문에 병원 가야 하나요,탈구 때문에 병원 가야 하나요,탈구,trauma,정형외과,탈구,3,bad_pattern:때문에 병원 가야 하나요
854,탈구가 계속됩니다,탈구가 계속됩니다,탈구,trauma,정형외과,탈구,3,bad_pattern:가 계속됩니다
867,항문 이물 증상인데 위험한가요,항문 이물 증상인데 위험한가요,항문 이물,foreign_body,외과,항문 이물,2,bad_pattern:증상인데 위험한가요
868,항문 이물 때문에 병원 가야 하나요,항문 이물 때문에 병원 가야 하나요,항문 이물,foreign_body,외과,항문 이물,2,bad_pattern:때문에 병원 가야 하나요
875,항문 이물가 계속됩니다,항문 이물가 계속됩니다,항문 이물,foreign_body,외과,항문 이물,2,bad_pattern:가 계속됩니다
881,혈관손상 증상인데 위험한가요,혈관손상 증상인데 위험한가요,혈관손상,trauma,정형외과,혈관손상,3,bad_pattern:증상인데 위험한가요
889,혈관손상 때문에 병원 가야 하나요,혈관손상 때문에 병원 가야 하나요,혈관손상,trauma,정형외과,혈관손상,3,bad_pattern:때문에 병원 가야 하나요
891,혈관손상가 계속됩니다,혈관손상가 계속됩니다,혈관손상,trauma,정형외과,혈관손상,3,bad_pattern:가 계속됩니다
894,호흡부전 증상인데 위험한가요,호흡부전 증상인데 위험한가요,호흡부전,respiratory,호흡기내과,호흡부전,5,bad_pattern:증상인데 위험한가요
897,호흡부전가 계속됩니다,호흡부전가 계속됩니다,호흡부전,respiratory,호흡기내과,호흡부전,5,bad_pattern:가 계속됩니다
904,호흡부전 때문에 병원 가야 하나요,호흡부전 때문에 병원 가야 하나요,호흡부전,respiratory,호흡기내과,호흡부전,5,bad_pattern:때문에 병원 가야 하나요
907,화상가 계속됩니다,화상가 계속됩니다,화상,trauma,응급의학과,화상,2,bad_pattern:가 계속됩니다
921,화상 때문에 병원 가야 하나요,화상 때문에 병원 가야 하나요,화상,trauma,응급의학과,화상,2,bad_pattern:때문에 병원 가야 하나요
925,화상 증상인데 위험한가요,화상 증상인데 위험한가요,화상,trauma,응급의학과,화상,2,bad_pattern:증상인데 위험한가요
933,화학물질 중독 증상인데 위험한가요,화학물질 중독 증상인데 위험한가요,화학물질 중독,toxic,응급의학과,화학물질 중독,4,bad_pattern:증상인데 위험한가요
937,화학물질 중독 때문에 병원 가야 하나요,화학물질 중독 때문에 병원 가야 하나요,화학물질 중독,toxic,응급의학과,화학물질 중독,4,bad_pattern:때문에 병원 가야 하나요
943,화학물질 중독가 계속됩니다,화학물질 중독가 계속됩니다,화학물질 중독,toxic,응급의학과,화학물질 중독,4,bad_pattern:가 계속됩니다
946,화학성 안손상가 계속됩니다,화학성 안손상가 계속됩니다,화학성 안손상,eye,안과,화학성 안손상,4,bad_pattern:가 계속됩니다
948,화학성 안손상 증상인데 위험한가요,화학성 안손상 증상인데 위험한가요,화학성 안손상,eye,안과,화학성 안손상,4,bad_pattern:증상인데 위험한가요
959,화학성 안손상 때문에 병원 가야 하나요,화학성 안손상 때문에 병원 가야 하나요,화학성 안손상,eye,안과,화학성 안손상,4,bad_pattern:때문에 병원 가야 하나요
